2017-11-02,太平洋证券,000799,酒鬼酒,推荐酒鬼酒:中高端酒继续保持良好势头,webcache\20171102\webcache-20180303020146.html,sina,
2017-11-02,西南证券,300124,汇川技术,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300296,利亚德,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300628,亿联网络,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300679,电连技术,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300691,联合光电,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,长城证券,300041,回天新材,"国内粘胶剂行业十分分散,但高端产品的进入门槛较高,认证周期较长,回天新材已获得汽车整装配套、轨道交通、装配式建筑、电子电器及食品软包装等行业权威技术认证,并得到多家国内外知名公司的产品试用验证;具有研发、产品、市场、品牌等方面的竞争优势,公司具备向多业务领域和高端产品进军的能力,其市场份额将有进一步提升的空间",webcache\20171102\webcache-20180303020150.html,sina,
2017-11-02,长城证券,300041,回天新材,"   
    投资建议:回天新材是A股粘胶剂行业最大、最有竞争优势的上市公司",webcache\20171102\webcache-20180303020150.html,sina,
2017-11-02,长城证券,300041,回天新材,推荐回天新材公司三季报点评:收入快速增长;市场份额持续提升,webcache\20171102\webcache-20180303020150.html,sina,
2017-11-02,长城证券,300041,回天新材,推荐回天新材公司三季报点评:收入快速增长;市场份额持续提升,webcache\20171102\webcache-20180303020150.html,sina,
2017-11-02,东海证券股份有限公司,601229,上海银行,"10月31日,上海银行间同业拆放利率SHIBOR隔夜利率为2.7360%,上涨1.60BP,SHIBOR一周为2.8940%,上涨0.60BP",webcache\20171102\webcache-20180303020153.html,sina,
2017-11-02,东海证券股份有限公司,601229,上海银行,"   
    上海银行间同业拆放利率上涨",webcache\20171102\webcache-20180303020153.html,sina,
2017-11-02,中原证券,000049,德赛电池,"推荐德赛电池季报点评:Q3环比显著增长,预计仍将高增长",webcache\20171102\webcache-20180303020154.html,sina,
2017-11-02,中原证券,000049,德赛电池,"推荐德赛电池季报点评:Q3环比显著增长,预计仍将高增长",webcache\20171102\webcache-20180303020154.html,sina,
2017-11-02,广证恒生,601799,星宇股份,"推荐星宇股份:季报符合预期,当前的投入为明年高增长铺垫",webcache\20171102\webcache-20180303020156.html,sina,
2017-11-02,广证恒生,601799,星宇股份,"推荐星宇股份:季报符合预期,当前的投入为明年高增长铺垫",webcache\20171102\webcache-20180303020156.html,sina,
2017-11-02,浙商证券,002078,太阳纸业,推荐太阳纸业三季报点评报告:一直在高速增长!,webcache\20171102\webcache-20180303020156.html,sina,
2017-11-02,浙商证券,002078,太阳纸业,推荐太阳纸业三季报点评报告:一直在高速增长!,webcache\20171102\webcache-20180303020156.html,sina,
2017-11-02,中银国际,600116,三峡水利,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,600340,华夏幸福,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,600482,中国动力,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,601233,桐昆股份,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,000078,海王生物,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,002427,ST尤夫,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,002434,万里扬,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,002624,完美世界,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,002718,友邦吊顶,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,300197,铁汉生态,"   
    当月金股推荐:万里扬(002434.CH)、三峡水利(600116.CH)、海王生物(000078.CH)、中国动力(600482.CH)、铁汉生态(300197.CH)、桐昆股份(601233.CH)、华夏幸福(600340.CH)、友邦吊顶(002718.CH)、尤夫股份(002427.CH)、完美世界(002624.CH)",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,中银国际,603326,我乐家居,"重点个股推荐   
    最新个股推荐:我乐家居(603326",webcache\20171102\webcache-20180303020157.html,sina,
2017-11-02,广发证券,000799,酒鬼酒,"53亿增长58%,加速增长(17H1增长49%),高柔红坛7200万同增200%,50度酒鬼酒2900万同降24%(经销商与公司博弈减少打款所致,预计四季度经销商将加大回款力度),52度酒鬼酒包销效果较好,1-9月同增100%",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,广发证券,000799,酒鬼酒,"53亿增长58%,加速增长(17H1增长49%),高柔红坛7200万同增200%,50度酒鬼酒2900万同降24%(经销商与公司博弈减少打款所致,预计四季度经销商将加大回款力度),52度酒鬼酒包销效果较好,1-9月同增100%",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,广发证券,000799,酒鬼酒,推荐酒鬼酒:酒鬼系列加速增长,webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,广发证券,000799,酒鬼酒,推荐酒鬼酒:酒鬼系列加速增长,webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,广发证券,000799,酒鬼酒,推荐酒鬼酒:酒鬼系列加速增长,webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,002202,金风科技,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,002531,天顺风能,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,300129,泰胜风能,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,300443,金雷风电,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,002202,金风科技,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,002531,天顺风能,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,300129,泰胜风能,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,平安证券,300443,金雷风电,"重点推荐风电整机龙头金风科技,建议关注零部件龙头泰胜风能、金雷风电、天顺风能等",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,中原证券,600388,龙净环保,"推荐龙净环保季报点评:毛利率小幅提升,业绩符合预期",webcache\20171102\webcache-20180303020158.html,sina,
2017-11-02,国信证券,000681,视觉中国,"推荐视觉中国2017年三季报点评:业绩增长稳健,持续看好B端变现模式深化",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,国信证券,000681,视觉中国,"推荐视觉中国2017年三季报点评:业绩增长稳健,持续看好B端变现模式深化",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,600477,杭萧钢构,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,002310,东方园林,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,300197,铁汉生态,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,600477,杭萧钢构,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,002310,东方园林,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,300197,铁汉生态,"   
    投资标的方面,主要看好钢结构建设、PPP业务、海外工程等板块,推荐新商业模式进展良好的杭萧钢构,关注扎根华南布局北方的铁汉生态、东方园林",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,600176,中国巨石,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,601636,旗滨集团,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,002372,伟星新材,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,600176,中国巨石,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,601636,旗滨集团,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,002372,伟星新材,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,600176,中国巨石,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,601636,旗滨集团,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,中银国际,002372,伟星新材,"   
    投资标方面,推荐受浮法玻璃价格高位影响很大的旗滨集团与品牌优势逐步展现的伟星新材,关注受中建材整合影响与产品高端化进程顺利的中国巨石",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002353,杰瑞股份,"   
    (3)天然气板块:1-9月份天然气产量1088亿立方米,同比增长10.8%;天然气消费量1677亿立方米,增长18.4%,预计全年将维持快速增长趋势;天然气应用板块继续看好富瑞特装、厚普股份及杰瑞股份、惠博普等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002554,惠博普,"   
    (3)天然气板块:1-9月份天然气产量1088亿立方米,同比增长10.8%;天然气消费量1677亿立方米,增长18.4%,预计全年将维持快速增长趋势;天然气应用板块继续看好富瑞特装、厚普股份及杰瑞股份、惠博普等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,300228,富瑞特装,"   
    (3)天然气板块:1-9月份天然气产量1088亿立方米,同比增长10.8%;天然气消费量1677亿立方米,增长18.4%,预计全年将维持快速增长趋势;天然气应用板块继续看好富瑞特装、厚普股份及杰瑞股份、惠博普等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,300471,厚普股份,"   
    (3)天然气板块:1-9月份天然气产量1088亿立方米,同比增长10.8%;天然气消费量1677亿立方米,增长18.4%,预计全年将维持快速增长趋势;天然气应用板块继续看好富瑞特装、厚普股份及杰瑞股份、惠博普等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002353,杰瑞股份,"   
    2、上市公司动态【杰瑞股份】公司发布2017年三季度报告,2017年前三季度公司营业收入为20.49亿,同比增长10.23%,实现归属于上市公司股东的净利润为4874万元,同比减少53.48%",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002353,杰瑞股份,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002554,惠博普,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,300164,通源石油,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002353,杰瑞股份,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,002554,惠博普,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,银河证券,300164,通源石油,"   
    (2)油服板块:短期内油服行业受益原油价格上涨,长期来看全球原油供需正逐步实现平衡,看好油价长期走势,油服板块继续看好杰瑞股份、惠博普、通源石油等",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,安信证券,600885,宏发股份,"特斯拉产业链:重点推荐宏发股份、科达利、旭升股份;北汽新能源产业链:麦格米特(乘用车电控);主线三:物流车“承上启下”的投资机会,重点推荐蓝海华腾、方正电机",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,安信证券,603305,旭升股份,"特斯拉产业链:重点推荐宏发股份、科达利、旭升股份;北汽新能源产业链:麦格米特(乘用车电控);主线三:物流车“承上启下”的投资机会,重点推荐蓝海华腾、方正电机",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,安信证券,002196,方正电机,"特斯拉产业链:重点推荐宏发股份、科达利、旭升股份;北汽新能源产业链:麦格米特(乘用车电控);主线三:物流车“承上启下”的投资机会,重点推荐蓝海华腾、方正电机",webcache\20171102\webcache-20180303020159.html,sina,
2017-11-02,安信证券,002850,科达利,"特斯拉产业链:重点推荐宏发股份、科达利、旭升股份;北汽新能源产业链:麦格米特(乘用车电控);主线三:物流车“承上启下”的投资机会,重点推荐蓝海华腾、方正电机",webcache\20171102\webcache-20180303020159.html,sina,
