2017-11-15,国泰君安,002353,杰瑞股份,"推荐杰瑞股份公司首次覆盖报告:新时期,新机遇",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,国金证券,603885,吉祥航空,"   
    若收益水平提升3%,可以覆盖油价上涨10%带来的成本增长:我们对重点跟踪的三大航、春秋和吉祥航空做了油价敏感性测算,若油价波动10%,国航、南航、东航、春秋、吉祥的全年营业成本将分别增加27.0亿元、29.4亿元、23.0亿元、2.2亿元、2.3亿元,对应净利润弹性分别为20.4%、31.2%、25.2%、14.4%、12.8%,拥有较高净利率的国航、春秋和吉祥受到油价波动的影响较少,其中国航和吉祥是因为收益品质较高,春秋是因为成本管控优势以及航线补贴较高",webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,国金证券,600029,南方航空,持续推荐中国国航、南方航空、春秋航空,webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,国金证券,601021,春秋航空,持续推荐中国国航、南方航空、春秋航空,webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,国金证券,601111,中国国航,持续推荐中国国航、南方航空、春秋航空,webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,中信建投,300675,建科院,"公司股东之一建科院是由科研院所改制设立的科技型企业,具有一定的研发平台优势,公司作为国内领先的混凝土外加剂供应商,其与建科院合作研发有利于提高研发人员科研水平,加强发行人与科研机构的合作交流,进而保持公司的研发优势和产品优势",webcache\20171115\webcache-20180303014138.html,sina,
2017-11-15,中信建投,300675,建科院,"公司股东之一建科院是由科研院所改制设立的科技型企业,具有一定的研发平台优势,公司作为国内领先的混凝土外加剂供应商,其与建科院合作研发有利于提高研发人员科研水平,加强发行人与科研机构的合作交流,进而保持公司的研发优势和产品优势",webcache\20171115\webcache-20180303014138.html,sina,
2017-11-15,中信建投,603916,苏博特,"推荐中小公司新股研究(第148期):苏博特,国内领先的新型土木材料供应商",webcache\20171115\webcache-20180303014138.html,sina,
2017-11-15,中信建投,603916,苏博特,"推荐中小公司新股研究(第148期):苏博特,国内领先的新型土木材料供应商",webcache\20171115\webcache-20180303014138.html,sina,
2017-11-15,光大证券,603603,博天环境,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,002310,东方园林,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300070,碧水源,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300145,中金环境,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300388,国祯环保,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300422,博世科,关注:碧水源、博世科、中金环境、东方园林、国祯环保、博天环境、北控水务(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,600963,岳阳林纸,关注:东方园林、岳阳林纸、铁汉生态,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,002310,东方园林,关注:东方园林、岳阳林纸、铁汉生态,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300197,铁汉生态,关注:东方园林、岳阳林纸、铁汉生态,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,600388,龙净环保,关注:东江环保、启迪桑德、上海洗霸、清新环境、龙净环保、中国光大绿色环保(港)、中国光大国际(港)、齐合环保(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,603200,上海洗霸,关注:东江环保、启迪桑德、上海洗霸、清新环境、龙净环保、中国光大绿色环保(港)、中国光大国际(港)、齐合环保(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,000826,启迪桑德,关注:东江环保、启迪桑德、上海洗霸、清新环境、龙净环保、中国光大绿色环保(港)、中国光大国际(港)、齐合环保(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,002573,清新环境,关注:东江环保、启迪桑德、上海洗霸、清新环境、龙净环保、中国光大绿色环保(港)、中国光大国际(港)、齐合环保(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,002672,东江环保,关注:东江环保、启迪桑德、上海洗霸、清新环境、龙净环保、中国光大绿色环保(港)、中国光大国际(港)、齐合环保(港),webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,603588,高能环境,关注:高能环境、永清环保、博世科,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300187,永清环保,关注:高能环境、永清环保、博世科,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,光大证券,300422,博世科,关注:高能环境、永清环保、博世科,webcache\20171115\webcache-20180303014139.html,sina,
2017-11-15,浙商证券,600884,杉杉股份,建议关注坚瑞沃能、国轩高科、多氟多、杉杉股份、特锐德等标的,webcache\20171115\webcache-20180303014140.html,sina,
2017-11-15,浙商证券,002074,国轩高科,建议关注坚瑞沃能、国轩高科、多氟多、杉杉股份、特锐德等标的,webcache\20171115\webcache-20180303014140.html,sina,
2017-11-15,浙商证券,002407,多氟多,建议关注坚瑞沃能、国轩高科、多氟多、杉杉股份、特锐德等标的,webcache\20171115\webcache-20180303014140.html,sina,
2017-11-15,浙商证券,300001,特锐德,建议关注坚瑞沃能、国轩高科、多氟多、杉杉股份、特锐德等标的,webcache\20171115\webcache-20180303014140.html,sina,
2017-11-15,浙商证券,300116,坚瑞沃能,建议关注坚瑞沃能、国轩高科、多氟多、杉杉股份、特锐德等标的,webcache\20171115\webcache-20180303014140.html,sina,
2017-11-15,安信证券,603444,吉比特,"推荐吉比特:夯实研运能力,进军海外市场,期待后续业绩",webcache\20171115\webcache-20180303014141.html,sina,
2017-11-15,招商证券,600660,福耀玻璃,"   
    预计明年行业分化态势延续,强者越强   
    预计2018年行业分化态势延续,行业或低个位数增长,技术和品牌优势公司有望强者越强,看好:1) 强产品周期公司:a) 成长龙头吉利汽车(175 HK,买入),2018年产品线第二次大爆发,其成长持续性长,爆发力强;b) 豪华车龙头华晨中国(1114,买入),2017-19均处于强产品周期;2) 业绩弹性大的豪华车经销商:正通汽车(1728 HK,买入)和中升控股(881 HK,买入);3) 零部件细分行业龙头:敏实集团(425 HK,买入)和福耀玻璃(3606 HK,买入)逢低买入",webcache\20171115\webcache-20180303014141.html,sina,
2017-11-15,招商证券,600660,福耀玻璃,"   
    预计明年行业分化态势延续,强者越强   
    预计2018年行业分化态势延续,行业或低个位数增长,技术和品牌优势公司有望强者越强,看好:1) 强产品周期公司:a) 成长龙头吉利汽车(175 HK,买入),2018年产品线第二次大爆发,其成长持续性长,爆发力强;b) 豪华车龙头华晨中国(1114,买入),2017-19均处于强产品周期;2) 业绩弹性大的豪华车经销商:正通汽车(1728 HK,买入)和中升控股(881 HK,买入);3) 零部件细分行业龙头:敏实集团(425 HK,买入)和福耀玻璃(3606 HK,买入)逢低买入",webcache\20171115\webcache-20180303014141.html,sina,
2017-11-15,招商证券,600660,福耀玻璃,"   
    预计明年行业分化态势延续,强者越强   
    预计2018年行业分化态势延续,行业或低个位数增长,技术和品牌优势公司有望强者越强,看好:1) 强产品周期公司:a) 成长龙头吉利汽车(175 HK,买入),2018年产品线第二次大爆发,其成长持续性长,爆发力强;b) 豪华车龙头华晨中国(1114,买入),2017-19均处于强产品周期;2) 业绩弹性大的豪华车经销商:正通汽车(1728 HK,买入)和中升控股(881 HK,买入);3) 零部件细分行业龙头:敏实集团(425 HK,买入)和福耀玻璃(3606 HK,买入)逢低买入",webcache\20171115\webcache-20180303014141.html,sina,
2017-11-15,银河证券,601225,陕西煤业,其次重点关注陕西动力煤龙头陕西煤业,webcache\20171115\webcache-20180303014142.html,sina,
2017-11-15,银河证券,601088,中国神华,"12亿元,故2017年全年净利润有望达到400亿元以上,是已经发布2017年全年业绩预告企业中预增类上市公司中实现归母净利润最多的公司,鉴于2017年中国神华实施大额分红市场反应较好,公司在2018年初有望再次实施大额分红,建议投资者重点关注",webcache\20171115\webcache-20180303014142.html,sina,
2017-11-15,安信证券,603078,江化微,"   
    非周期品看好国产化率有提升空间的进口替代品,长期关注电子化学品(半导体用、平板显示用)为首的重点新材料:新材料是化工产业创新力的最集中体现,我们始终认为目前新材料中可以最快实现盈利的是国产化率有提升空间的进口替代品,电子化学品建议重点关注(万润股份、国瓷材料、飞凯材料、江丰电子、江化微)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,002643,万润股份,"   
    非周期品看好国产化率有提升空间的进口替代品,长期关注电子化学品(半导体用、平板显示用)为首的重点新材料:新材料是化工产业创新力的最集中体现,我们始终认为目前新材料中可以最快实现盈利的是国产化率有提升空间的进口替代品,电子化学品建议重点关注(万润股份、国瓷材料、飞凯材料、江丰电子、江化微)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,300285,国瓷材料,"   
    非周期品看好国产化率有提升空间的进口替代品,长期关注电子化学品(半导体用、平板显示用)为首的重点新材料:新材料是化工产业创新力的最集中体现,我们始终认为目前新材料中可以最快实现盈利的是国产化率有提升空间的进口替代品,电子化学品建议重点关注(万润股份、国瓷材料、飞凯材料、江丰电子、江化微)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,300398,飞凯材料,"   
    非周期品看好国产化率有提升空间的进口替代品,长期关注电子化学品(半导体用、平板显示用)为首的重点新材料:新材料是化工产业创新力的最集中体现,我们始终认为目前新材料中可以最快实现盈利的是国产化率有提升空间的进口替代品,电子化学品建议重点关注(万润股份、国瓷材料、飞凯材料、江丰电子、江化微)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,300666,江丰电子,"   
    非周期品看好国产化率有提升空间的进口替代品,长期关注电子化学品(半导体用、平板显示用)为首的重点新材料:新材料是化工产业创新力的最集中体现,我们始终认为目前新材料中可以最快实现盈利的是国产化率有提升空间的进口替代品,电子化学品建议重点关注(万润股份、国瓷材料、飞凯材料、江丰电子、江化微)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600141,兴发集团,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600160,巨化股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600389,江山股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600426,华鲁恒升,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600486,扬农化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600596,新安股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600618,氯碱化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600691,阳煤化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,601233,桐昆股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,601678,滨化股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,603968,醋化股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,000830,鲁西化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,002068,黑猫股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,002496,辉丰股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,300121,阳谷华泰,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600141,兴发集团,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600160,巨化股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600389,江山股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600426,华鲁恒升,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600486,扬农化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600596,新安股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600618,氯碱化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,600691,阳煤化工,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
2017-11-15,安信证券,601233,桐昆股份,"近期原油、天然气价格上涨,成本面利好支撑,加上“2+26”城市采暖季限停产来临,关注供需持续改善的相关细分子行业:我们持续推荐需求端偏刚性、供给端有收缩,产品价格维持或者继续上涨的品种,包括烧碱(氯碱化工、滨化股份、巨化股份)、农药(扬农化工,辉丰股份)、尿素(华鲁恒升、鲁西化工、阳煤化工)、涤纶长丝(桐昆股份)、橡胶助剂(阳谷华泰)、炭黑(黑猫股份)、山梨酸钾(醋化股份)、草甘膦(兴发集团、新安股份、江山股份)等",webcache\20171115\webcache-20180303014143.html,sina,
