2018-01-11,中金公司,601006,大秦铁路,"大秦铁路(601006)Divided yield a safety margin;reform,freight rate hikes likely catalysts-180110",webcache\20180112\webcache-20180302224858.html,51pdf,
2018-01-11,民生证券,002737,葵花药业,"葵花药业(002737)公司研究-简评报告核心产品获流感诊疗方案推荐,促进品牌价值提升-180111",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,民生证券,300285,国瓷材料,"国瓷材料(300285)2017年年度业绩预告点评：业绩增长符合预期,平台化新材料公司初显-180111",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,西部证券,300413,快乐购,快乐购(300413)深度报告之二：兼具内容优势和渠道优势，不惧互联网时代的竞争-180109,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,申万宏源,601998,中信银行,"中信银行(601998)深蹲起跳,拐点首选-180110",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,申万宏源,600823,世茂股份,"世茂股份(600823)销售大超预期,管理层积极扩张-180111",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,申万宏源,601908,京运通,京运通(601908)被市场忽视的新能源光伏及风电发电运营商-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,海通证券,002697,红旗连锁,"红旗连锁(002697)公司调研简报-引入永辉补强生鲜经营,预计2018年或跨省扩张-180111",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,海通证券,601155,新城控股,"新城控股(601155)公司信息点评-实力黑马销售破千亿元,成长潜力依旧-180111",webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,信达证券,600528,中铁工业,中铁工业（600528）深度报告：盾构机龙头，受益地铁地下管廊高速发展-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,中泰证券,002405,四维图新,四维图新（002405）你（NI）我（ME）合作，加快自动驾驶本土商业化-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,山西证券,300027,华谊兄弟,华谊兄弟（300027）事件点评报告-《前任3》票房超预期，《芳华》票房口碑双丰收-180109,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,方正证券,300044,赛为智能,赛为智能（300044）数据中心支撑业绩，人工智能业务成看点-180108,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,华泰证券,603816,顾家家居,顾家家居（603816）牵手Natuzzi，加码中高端市场-180110,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,华泰证券,600346,恒力股份,恒力股份（600346）牵手中化集团，炼化项目优势强化-180110,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,华泰证券,002074,国轩高科,国轩高科（002074）客户不断丰富，产品性能持续提升-180110,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,联讯证券,601633,长城汽车,长城汽车（601633）产品结构优化推动盈利能力恢复性增强-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,国联证券,002299,圣农发展,圣农发展（002299）白鸡慢牛行情展开，业绩弹性巨大-180110,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,申万宏源,603808,歌力思,歌力思(603808)收购IRO品牌大陆独家代理权，协同效应进一步提升-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,申万宏源,002027,分众传媒,分众传媒(002027)转让数禾科技股权确认投资收益，上调盈利预测-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,海通证券,002384,东山精密,东山精密(002384)公司研究报告-A股稀缺的高成长FPC与5G标的-180111,webcache\20180111\webcache-20180302224906.html,51pdf,
2018-01-11,中泰证券,600525,长园集团,长园集团（600525）股权之争终解决，估值有望修复-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,天风证券,300463,迈克生物,迈克生物(300463)2017年度业绩预告符合预期，龙头价值凸显-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,天风证券,300685,艾德生物,艾德生物(300685)肿瘤分子诊断佼佼者，上市元年业绩数据亮眼-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,天风证券,600572,康恩贝,康恩贝(600572)17年业绩预告基本符合预期，OTC类大品种持续高增长-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国泰君安,002027,分众传媒,"分众传媒(002027)投资收益确认上修业绩预告,安全边际进一步夯实-180111",webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,东吴证券,603866,桃李面包,桃李面包（603866）业绩预告验证拐点，面包龙头扬帆启航-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国联证券,300498,温氏股份,温氏股份（300498）年报预告披露，预计全年净利润66-70亿元-180109,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,方正证券,300483,沃施股份,沃施股份（300483）低估值高成长，新晋天然气开采商-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,财通证券,000661,长春高新,长春高新（000661）生长激素进入放量增长阶段-180109,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,财通证券,002027,分众传媒,分众传媒（002027）投资收益显著增厚利润，行业景气竞争优势明显-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,华金证券,600276,恒瑞医药,恒瑞医药(600276)BTK抑制剂授权TG Therapeutics，“走出去”战略加速推进-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,华金证券,002074,国轩高科,国轩高科(002074)深耕锂电十余载，一遇风云化成龙-180109,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,华金证券,002027,分众传媒,分众传媒(002027)业绩预告向上修正媒体龙头继续稳健-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,长城证券,002383,合众思壮,合众思壮（002383）新年军用自组网第一单，显著增厚2018年业绩-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,华创证券,300685,艾德生物,艾德生物（300685）业绩预告略超预期，延续高增长趋势-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,华创证券,001979,招商蛇口,招商蛇口（001979）12月销售点评：销售持续高增，拿地积极扩张、非市场化拿地优势尽显-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,方正证券,600681,百川能源,百川能源（600681）17年业绩预告超预期，上中下游全面部局继续强烈推荐-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,中信证券,000069,华侨城A,华侨城(000069)重大事项点评-项目出让和房屋销售没有本质差别-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,海通证券,600525,长园集团,"长园集团(600525)公司公告点评-与沃尔核材和解股权问题,对公司发展形成重大利好-180111",webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,海通证券,002130,沃尔核材,"长园集团(600525)公司公告点评-与沃尔核材和解股权问题,对公司发展形成重大利好-180111",webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,海通证券,600183,生益科技,"生益科技(600183)公司深度报告-行业龙头成长性十足,受益长期景气周期-180111",webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,平安证券,601633,长城汽车,长城汽车（601633）哈弗品牌持续调整、WEY稳步向上-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,渤海证券,300365,恒华科技,恒华科技（300365）2017年业绩预告点评：各业务条线持续推进，业绩保持高增长-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,中泰证券,002304,洋河股份,洋河股份（002304）产品价格全面回升，戴维斯双击加速到来-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,东北证券,002239,奥特佳,奥特佳（002239）空调压缩机龙头，积极开拓新客户-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国联证券,603868,飞科电器,飞科电器（603868）双寡头格局铸就长期价值-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国元证券,002282,博深工具,博深工具（002282）动车组闸片拿到订单，金牛研磨业绩贡献大-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,方正证券,300349,金卡智能,金卡智能（300349）海外市场快速扩展，业绩持续快速增长有保障-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国联证券,603369,今世缘,今世缘（603369）省内市场蕴含的高成长机会-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,国元证券,000998,隆平高科,隆平高科（000998）新品放量+外延并购推动业绩增长-180109,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,安信证券,300232,洲明科技,洲明科技(300232)业绩预告符合预期，保持高速成长-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,申万宏源,603816,顾家家居,顾家家居(603816)与意大利家居龙头Natuzzi 签订合作框架协议，持续丰富品牌梯度-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,申万宏源,600438,通威股份,通威股份(600438)业绩高增如期兑现，看好18H1硅料基本面-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,安信证券,002384,东山精密,东山精密(002384)FPC蓝图蓄势待发，受益5G迎发展新机-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,西部证券,600085,同仁堂,同仁堂(600085)首次覆盖报告：潜心布局终端销售，为放量夯实基础-180103,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,西部证券,603043,广州酒家,广州酒家(603043)“食品+餐饮”，寻求蜕变的中华老字号-180102,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,招商证券,002831,裕同科技,裕同科技（002831）员工持股彰显发展信心，业绩拐点可期-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,招商证券,603808,歌力思,歌力思（603808）收购IRO大陆独家代理权 强化自主运营权及规模化发展-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,中金公司,002831,裕同科技,裕同科技(002831)筹划推出员工持股计划，彰显未来成长信心-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,中金公司,002281,光迅科技,光迅科技(002281)光芯片的“中国制造”，传输网建设驱动公司增长-180111,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,天风证券,000666,经纬纺机,经纬纺机(000666)17年业绩增长超预期，未来将聚集信托主业-180110,webcache\20180111\webcache-20180302224907.html,51pdf,
2018-01-11,财富证券,002050,三花智控,三花智控(002050)放眼“蔚来”加码新能源，业绩增长可期-180111,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,广发证券,603839,安正时尚,安正时尚（603839）内生外延双管齐下，助力多品牌集团发展-180111,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,东吴证券,603808,歌力思,歌力思(603808)收购IRO中国区代理权，持续推进多品牌集团在中国落地-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,天风证券,603877,太平鸟,太平鸟(603877)Q4业绩超预期完成目标，打开未来三年增长空间-180109,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,天风证券,600390,五矿资本,五矿资本(600390)增资效应明显，看好后续业务拓展-180109,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,海通证券,002532,新界泵业,"新界泵业(002532)公司跟踪报告-隐藏屏蔽泵新星,受益“煤改气“推进-180110",webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,广发证券,600466,蓝光发展,蓝光发展（600466）完善激励制度，明确业绩增长目标-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,广发证券,300137,先河环保,先河环保(300137)受益网格化监测快速增长，全年业绩预增75-90%-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,天风证券,300433,蓝思科技,蓝思科技(300433)步入高速增长通道，平台价值逐步凸显-180109,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,天风证券,600643,爱建集团,爱建集团(600643)定增落地均瑶入主，增资助信托转型-180109,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,天风证券,600362,江西铜业,江西铜业(600362)高资源自给率、低成本、高弹性的优选铜业标的-180109,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,国泰君安,600580,卧龙电气,卧龙电气(600580)大刀阔斧，电机巨头再出发-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,招商证券,600525,长园集团,长园集团（600525）4年来的控股权争夺将和解，第三次创业真正开始-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,中信证券,603866,桃李面包,桃李面包(603866)2017年业绩快报点评-雪霁报春来-180110,webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,海通证券,600835,上海机电,"上海机电(600835)公司研究报告-电梯行业龙头,现金牛业务有望持续增长-180110",webcache\20180111\webcache-20180302224908.html,51pdf,
2018-01-11,安信证券,002384,东山精密,东山精密(002384)FPC蓝图蓄势待发，受益5G迎发展新机-180110,,51pdf,
2018-01-11,安信证券,600566,济川药业,济川药业(600566)蒲地蓝进入吉林医保目录接连超预-180111,,51pdf,
2018-01-11,安信证券,002831,裕同科技,裕同科技(002831)裕同科技：预计基本面已过低谷，拟筹划员工持股-180111,,51pdf,
2018-01-11,安信证券,300232,洲明科技,洲明科技(300232)业绩预告符合预期，保持高速成长-180110,,51pdf,
2018-01-11,财通证券,000661,长春高新,长春高新（000661）生长激素进入放量增长阶段-180109,,51pdf,
2018-01-11,财通证券,002027,分众传媒,分众传媒（002027）投资收益显著增厚利润，行业景气竞争优势明显-180110,,51pdf,
2018-01-11,财通证券,300357,我武生物,我武生物（300357）业绩预告符合预期，重回快速增长轨道-180111,,51pdf,
2018-01-11,长江证券,601333,广深铁路,广深铁路(601333)2018年投资要点梳理：“铁改”春风迎面，盈利拐点向上-180109,,51pdf,
2018-01-11,长江证券,600585,海螺水泥,海螺水泥(600585)全年业绩指引上修，看好2018年景气度-180108,,51pdf,
2018-01-11,长江证券,300433,蓝思科技,蓝思科技(300433)玻璃龙头高歌猛进，平台化打开未来空间-180108,,51pdf,
2018-01-11,长江证券,002419,天虹股份,天虹股份(002419)基础夯实激励到位，力推改革二次成长-180109,,51pdf,
2018-01-11,长江证券,600428,中远海特,"中远海特(600428)运量修复显著,经营趋势向好-180111",,51pdf,
2018-01-11,东方证券,600681,百川能源,百川能源（600681）预告2017年归母净利润同比增长50-60％，符合预期-180111,,51pdf,
2018-01-11,东吴证券,603808,歌力思,歌力思(603808)收购IRO中国区代理权，持续推进多品牌集团在中国落地-180110,,51pdf,
2018-01-11,东吴证券,600216,浙江医药,浙江医药（600216）VE底部反转，出口制剂有望突破-180110,,51pdf,
2018-01-11,高华证券,002583,海能达,海能达(002583)2017年四季度面临支出压力，但长期增长前景不变；重申买入-180110,,51pdf,
2018-01-11,高华证券,600340,华夏幸福,华夏幸福(600340)将核心市场的成功复制到其他主要地区；恢复评级评为买入-180109,,51pdf,
2018-01-11,广发证券,603839,安正时尚,安正时尚（603839）内生外延双管齐下，助力多品牌集团发展-180111,,51pdf,
2018-01-11,广发证券,603808,歌力思,歌力思(603808)拟收购依诺时尚80%股权，推进IRO国内布局-180111,,51pdf,
2018-01-11,广发证券,600466,蓝光发展,蓝光发展（600466）完善激励制度，明确业绩增长目标-180110,,51pdf,
2018-01-11,广发证券,000756,新华制药,新华制药(000756)深度研究-一体化仿制药企业，受益于行业供给侧改革-180111,,51pdf,
2018-01-11,国元证券,000998,隆平高科,隆平高科（000998）新品放量+外延并购推动业绩增长-180109,,51pdf,
2018-01-11,海通证券,600525,长园集团,"长园集团(600525)公司公告点评-与沃尔核材和解股权问题,对公司发展形成重大利好-180111",,51pdf,
2018-01-11,海通证券,002130,沃尔核材,"长园集团(600525)公司公告点评-与沃尔核材和解股权问题,对公司发展形成重大利好-180111",,51pdf,
2018-01-11,海通证券,002384,东山精密,东山精密(002384)公司研究报告-A股稀缺的高成长FPC与5G标的-180111,,51pdf,
2018-01-11,海通证券,600183,生益科技,"生益科技(600183)公司深度报告-行业龙头成长性十足,受益长期景气周期-180111",,51pdf,
2018-01-11,海通证券,601155,新城控股,"新城控股(601155)公司信息点评-实力黑马销售破千亿元,成长潜力依旧-180111",,51pdf,
2018-01-11,海通证券,002532,新界泵业,"新界泵业(002532)公司跟踪报告-隐藏屏蔽泵新星,受益“煤改气“推进-180110",,51pdf,
2018-01-11,华金证券,002027,分众传媒,分众传媒(002027)业绩预告向上修正媒体龙头继续稳健-180111,,51pdf,
2018-01-11,华金证券,002074,国轩高科,国轩高科(002074)深耕锂电十余载，一遇风云化成龙-180109,,51pdf,
2018-01-11,华金证券,600276,恒瑞医药,恒瑞医药(600276)BTK抑制剂授权TG Therapeutics，“走出去”战略加速推进-180110,,51pdf,
2018-01-11,华泰证券,002074,国轩高科,国轩高科（002074）客户不断丰富，产品性能持续提升-180110,,51pdf,
2018-01-11,申万宏源,002027,分众传媒,分众传媒(002027)转让数禾科技股权确认投资收益，上调盈利预测-180111,,51pdf,
2018-01-11,申万宏源,600438,通威股份,通威股份(600438)业绩高增如期兑现，看好18H1硅料基本面-180110,,51pdf,
2018-01-11,天风证券,600643,爱建集团,爱建集团(600643)定增落地均瑶入主，增资助信托转型-180109,,51pdf,
2018-01-11,天风证券,002027,分众传媒,分众传媒(002027)17年数禾科技投资收益调增业绩，看好后续营收增长-180111,,51pdf,
2018-01-11,天风证券,603816,顾家家居,"顾家家居(603816)启动华中布局,定制家居上马,维持买入评级-180111",,51pdf,
2018-01-11,天风证券,603816,顾家家居,顾家家居(603816)与Natuzzi签订合作框架协议，吹响进军高端市场的号角-180110,,51pdf,
2018-01-11,天风证券,600362,江西铜业,江西铜业(600362)高资源自给率、低成本、高弹性的优选铜业标的-180109,,51pdf,
2018-01-11,天风证券,000666,经纬纺机,经纬纺机(000666)17年业绩增长超预期，未来将聚集信托主业-180110,,51pdf,
2018-01-11,天风证券,600572,康恩贝,康恩贝(600572)17年业绩预告基本符合预期，OTC类大品种持续高增长-180110,,51pdf,
2018-01-11,天风证券,300662,科锐国际,"科锐国际(300662)万亿市场龙头企业，高成长，稀缺性,坚定推荐！-180111",,51pdf,
2018-01-11,天风证券,300433,蓝思科技,蓝思科技(300433)步入高速增长通道，平台价值逐步凸显-180109,,51pdf,
2018-01-11,天风证券,300463,迈克生物,迈克生物(300463)2017年度业绩预告符合预期，龙头价值凸显-180111,,51pdf,
2018-01-11,天风证券,603877,太平鸟,太平鸟(603877)Q4业绩超预期完成目标，打开未来三年增长空间-180109,,51pdf,
2018-01-11,天风证券,600390,五矿资本,五矿资本(600390)增资效应明显，看好后续业务拓展-180109,,51pdf,
2018-01-11,天风证券,300121,阳谷华泰,阳谷华泰(300121)橡胶助剂行业步入景气，阳谷华泰打造行业龙头-180111,,51pdf,
2018-01-11,信达证券,600528,中铁工业,中铁工业（600528）深度报告：盾构机龙头，受益地铁地下管廊高速发展-180111,,51pdf,
2018-01-11,浙商证券,300121,阳谷华泰,阳谷华泰(300121)四季度业绩超预期，环保趋严下有望快速成长-180110,,51pdf,
2018-01-11,中泰证券,600525,长园集团,长园集团（600525）股权之争终解决，估值有望修复-180110,,51pdf,
2018-01-11,中泰证券,002405,四维图新,四维图新（002405）你（NI）我（ME）合作，加快自动驾驶本土商业化-180111,,51pdf,
2018-01-11,中泰证券,002304,洋河股份,洋河股份（002304）产品价格全面回升，戴维斯双击加速到来-180111,,51pdf,
2018-01-11,中信证券,000069,华侨城A,华侨城(000069)重大事项点评-项目出让和房屋销售没有本质差别-180111,,51pdf,
2018-01-11,中信证券,603866,桃李面包,桃李面包(603866)2017年业绩快报点评-雪霁报春来-180110,,51pdf,
2018-01-11,天风证券,002027,分众传媒,"推荐分众传媒:17年数禾科技投资收益调增业绩,看好后续营收增长",webcache\20180111\webcache-20180303001343.html,sina,
2018-01-11,天风证券,002027,分众传媒,"推荐分众传媒:17年数禾科技投资收益调增业绩,看好后续营收增长",webcache\20180111\webcache-20180303001343.html,sina,
2018-01-11,安信证券,600132,重庆啤酒,华润啤酒、青岛啤酒、燕京啤酒、重庆啤酒等均有望受益,webcache\20180111\webcache-20180303001343.html,sina,
2018-01-11,安信证券,600600,青岛啤酒,华润啤酒、青岛啤酒、燕京啤酒、重庆啤酒等均有望受益,webcache\20180111\webcache-20180303001343.html,sina,
2018-01-11,安信证券,000729,燕京啤酒,华润啤酒、青岛啤酒、燕京啤酒、重庆啤酒等均有望受益,webcache\20180111\webcache-20180303001343.html,sina,
2018-01-11,中银国际,601009,南京银行,"从个股来看,由于银行个体间调整压力和调整能力的差异,银行间的分化将会延续,我们从稳健性角度推荐业绩持续改善,受监管调整压力较小的大行(农行),从成长性角度推荐宁波银行,关注平安银行、兴业银行和南京银行",webcache\20180111\webcache-20180303001344.html,sina,
2018-01-11,中银国际,601166,兴业银行,"从个股来看,由于银行个体间调整压力和调整能力的差异,银行间的分化将会延续,我们从稳健性角度推荐业绩持续改善,受监管调整压力较小的大行(农行),从成长性角度推荐宁波银行,关注平安银行、兴业银行和南京银行",webcache\20180111\webcache-20180303001344.html,sina,
2018-01-11,中银国际,000001,平安银行,"从个股来看,由于银行个体间调整压力和调整能力的差异,银行间的分化将会延续,我们从稳健性角度推荐业绩持续改善,受监管调整压力较小的大行(农行),从成长性角度推荐宁波银行,关注平安银行、兴业银行和南京银行",webcache\20180111\webcache-20180303001344.html,sina,
2018-01-11,中银国际,002142,宁波银行,"从个股来看,由于银行个体间调整压力和调整能力的差异,银行间的分化将会延续,我们从稳健性角度推荐业绩持续改善,受监管调整压力较小的大行(农行),从成长性角度推荐宁波银行,关注平安银行、兴业银行和南京银行",webcache\20180111\webcache-20180303001344.html,sina,
