2017-10-11,长雄证券  ,600570,恒生电子 ,推荐恒生电子:A股入摩专栏                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939278/index.phtml,sina,
2017-10-11,华安证券  ,300335,迪森股份 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,603686,龙马环卫 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,000826,启迪桑德 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,002573,清新环境 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300137,先河环保 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300335,迪森股份 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,603686,龙马环卫 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,000826,启迪桑德 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,002573,清新环境 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300137,先河环保 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300335,迪森股份 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,平安证券  ,603233,大参林  ,"推荐大参林:广东龙头,国内翘楚"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939250/index.phtml,sina,
2017-10-11,东北证券  ,002236,大华股份 ,"新疆安防行业实现快速增长,公司作为本地优质企业,基于自身极强的交付能力和拿单能力,本年度先后与疏勒县、喀什市签订8000万、32,179万元大单,与大华股份联手预中标且末县平安城市PPP项目,建设及运营总计超过5个亿,无论从订单单体体量及订单整体金额均高于往年水平,为公司业绩高速增长提供有力支撑"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939240/index.phtml,sina,
2017-10-11,东北证券  ,300603,立昂技术 ,"推荐立昂技术:Q3业绩高速增长,大单充足布局数据中心"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939240/index.phtml,sina,
2017-10-11,东北证券  ,300603,立昂技术 ,"推荐立昂技术:Q3业绩高速增长,大单充足布局数据中心"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939240/index.phtml,sina,
2017-10-11,国金证券  ,300422,博世科  ,"广西博世科是国家科技部火炬计划重点高新技术企业,以污水处理、供水、土壤修复业务为核心,环评业务实现突破,打造“咨询、诊断、治理、运营”环保产业链"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939232/index.phtml,sina,
2017-10-11,国金证券  ,300422,博世科  ,博世科具备ACM生物反应器、上流式多相废水处理氧化塔等多项国内领先污水处理核心技术                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939232/index.phtml,sina,
2017-10-11,国金证券  ,300422,博世科  ,"推荐博世科:土壤、环评大势占据先手,战略灵活方向明确"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939232/index.phtml,sina,
2017-10-11,中泰证券  ,300335,迪森股份 ,"推荐迪森股份:受益煤改气,B、C端订单爆发"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939224/index.phtml,sina,
2017-10-11,中泰证券  ,300335,迪森股份 ,"推荐迪森股份:受益煤改气,B、C端订单爆发"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939224/index.phtml,sina,
2017-10-11,东北证券  ,300545,联得装备 ,"平板显示产品发生由LCD向OLED的结构性变化,工艺复杂导致设备单体价值量增加50%左右,市场规模增大,设备企业将充分受益;(3)联得装备唯一独立的后段模组组装设备上市公司,邦定+贴合齐发力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939222/index.phtml,sina,
2017-10-11,东北证券  ,300545,联得装备 ,"
    建议重点关注:联得装备、精测电子   
    能源装备行业: LNG重卡产量单月同比最大增速超900%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939222/index.phtml,sina,
2017-10-11,东北证券  ,300567,精测电子 ,"
    建议重点关注:联得装备、精测电子   
    能源装备行业: LNG重卡产量单月同比最大增速超900%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939222/index.phtml,sina,
2017-10-11,东北证券  ,300471,厚普股份 ,"
    建议重点关注:厚普股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939222/index.phtml,sina,
2017-10-11,信达证券  ,600872,中炬高新 ,"9%,显现了强劲的增长势头,带动调味品行业增速触底反弹;2)受到成本上涨影响,以海天年初提价为开端,上市公司中炬高新、千禾味业等均有跟进动作或计划,调味品行业出现提价潮,渠道积极性也获得提振"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939220/index.phtml,sina,
2017-10-11,信达证券  ,603027,千禾味业 ,"9%,显现了强劲的增长势头,带动调味品行业增速触底反弹;2)受到成本上涨影响,以海天年初提价为开端,上市公司中炬高新、千禾味业等均有跟进动作或计划,调味品行业出现提价潮,渠道积极性也获得提振"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939220/index.phtml,sina,
2017-10-11,信达证券  ,600872,中炬高新 ,"9%,显现了强劲的增长势头,带动调味品行业增速触底反弹;2)受到成本上涨影响,以海天年初提价为开端,上市公司中炬高新、千禾味业等均有跟进动作或计划,调味品行业出现提价潮,渠道积极性也获得提振"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939220/index.phtml,sina,
2017-10-11,信达证券  ,603027,千禾味业 ,"9%,显现了强劲的增长势头,带动调味品行业增速触底反弹;2)受到成本上涨影响,以海天年初提价为开端,上市公司中炬高新、千禾味业等均有跟进动作或计划,调味品行业出现提价潮,渠道积极性也获得提振"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939220/index.phtml,sina,
2017-10-11,信达证券  ,600872,中炬高新 ,推荐中炬高新首次覆盖报告:小行业、大机遇;传统企业、历久弥新                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939220/index.phtml,sina,
2017-10-11,东吴证券  ,600703,三安光电 ,"事件:2017年10月10日晚,三安光电发布了2017三季度业绩预增公告,预计2017年前三季度实现归母净利润比上年同期增长55%-60%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939219/index.phtml,sina,
2017-10-11,东吴证券  ,600703,三安光电 ,"推荐三安光电:三季度业绩符合预期,坚定看好LED芯片龙头"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939219/index.phtml,sina,
2017-10-11,国信证券  ,600004,白云机场 ,"
    白云机场免税业务潜力巨大,中长期有望为公司带来一定业绩增厚17年上半年,白云机场旅客吞吐量 3191.96万人次,同比增长10.7%,其中国际及地区旅客吞吐量为763.23万人次,同比上升16.5%,中转旅客423.6万人次,同比增长28.3%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939209/index.phtml,sina,
2017-10-11,国信证券  ,600004,白云机场 ,"n 白云机场免税业务落地再次印证核心逻辑,规模优势有望加速显现,坚定“买入”评级整体来看,白云机场免税项目落地基本符合我们此前判断,较低的扣点率有望为公司带来一定业绩增厚,同时进一步促进公司未来2-3年免税规模的跃升,从而推动毛利率加速提升"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939209/index.phtml,sina,
2017-10-11,国信证券  ,600004,白云机场 ,"n 白云机场免税业务落地再次印证核心逻辑,规模优势有望加速显现,坚定“买入”评级整体来看,白云机场免税项目落地基本符合我们此前判断,较低的扣点率有望为公司带来一定业绩增厚,同时进一步促进公司未来2-3年免税规模的跃升,从而推动毛利率加速提升"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939209/index.phtml,sina,
2017-10-11,国信证券  ,600004,白云机场 ,"n 白云机场免税业务落地再次印证核心逻辑,规模优势有望加速显现,坚定“买入”评级整体来看,白云机场免税项目落地基本符合我们此前判断,较低的扣点率有望为公司带来一定业绩增厚,同时进一步促进公司未来2-3年免税规模的跃升,从而推动毛利率加速提升"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939209/index.phtml,sina,
