2017-11-10,新时代证券 ,002415,海康威视 ,"推荐海康威视三季报点评:业绩符合预期,新发布AI Cloud解决行业痛点"                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979332/index.phtml,sina,
2017-11-10,中泰证券  ,601997,贵阳银行 ,推荐贵阳银行2017年三季报点评:高增长、高盈利持续                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979109/index.phtml,sina,
2017-11-10,中泰证券  ,601997,贵阳银行 ,推荐贵阳银行2017年三季报点评:高增长、高盈利持续                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979109/index.phtml,sina,
2017-11-10,平安证券  ,600030,中信证券 ,"10月29家上市券商共实现净利润69.9亿元,环比上涨25%,其中,6家环比上涨,23家环比下跌,兴业证券、中信证券、国金证券涨幅居前"                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,600109,国金证券 ,"10月29家上市券商共实现净利润69.9亿元,环比上涨25%,其中,6家环比上涨,23家环比下跌,兴业证券、中信证券、国金证券涨幅居前"                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,601377,兴业证券 ,"10月29家上市券商共实现净利润69.9亿元,环比上涨25%,其中,6家环比上涨,23家环比下跌,兴业证券、中信证券、国金证券涨幅居前"                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,600030,中信证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,600837,海通证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,600958,东方证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,600999,招商证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,601377,兴业证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,601788,光大证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
2017-11-10,平安证券  ,000728,国元证券 ,"由于券商板块实际流通市值较大,撬动板块快速上涨需要资金量较大,我们认为行业有望出现缓慢上涨行情,维持行业“强于大市”的评级,我们建议关注以下券商:1、从业绩和估值进行衡量,我们推荐中信证券、招商证券、广发证券、海通证券、光大证券、兴业证券、东方证券;2、定增落地的国元证券"                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979106/index.phtml,sina,
