2017-11-01,信达证券      ,601899,紫金矿业 ,"推荐紫金矿业:财务费用增加拖累业绩,海外矿山即将发力"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966617/index.phtml,sina,
2017-11-01,东北证券      ,300607,拓斯达  ,"推荐拓斯达:智能制造浪潮来袭,机器人新星表现亮眼"                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966554/index.phtml,sina,
2017-11-01,天风证券      ,300571,平治信息 ,"推荐平治信息:Q3单季度营收获高环比增长,内容成本与推广成本上升致使毛利率走低,Q4面临解禁压力"                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966550/index.phtml,sina,
2017-11-01,天风证券      ,300571,平治信息 ,"推荐平治信息:Q3单季度营收获高环比增长,内容成本与推广成本上升致使毛利率走低,Q4面临解禁压力"                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966550/index.phtml,sina,
2017-11-01,山西证券      ,000651,格力电器 ,推荐格力电器:公司收益质量良好                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966548/index.phtml,sina,
2017-11-01,广发证券      ,600282,南钢股份 ,"推荐南钢股份:前三季度归母净利润同比增799%,三季度资产减值损失明显增加"                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966540/index.phtml,sina,
2017-11-01,天风证券      ,600362,江西铜业 ,"推荐江西铜业:铜价达高位,资源龙头三季度业绩再度上修"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966538/index.phtml,sina,
2017-11-01,银河证券      ,600893,航发动力 ,"推荐航发动力:增收更增利,业绩重回快车道"                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966534/index.phtml,sina,
2017-11-01,平安证券      ,300627,华测导航 ,"推荐华测导航:高精度行业领先企业,设备与方案双轮驱动"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966532/index.phtml,sina,
2017-11-01,平安证券      ,300627,华测导航 ,"推荐华测导航:高精度行业领先企业,设备与方案双轮驱动"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966532/index.phtml,sina,
2017-11-01,国信证券      ,600104,上汽集团 ,"推荐上汽集团2017年三季报点评:三季报业绩符合预期,环比改善可持续"                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966528/index.phtml,sina,
2017-11-01,东莞证券      ,001979,招商蛇口 ,推荐招商蛇口2017年三季报点评:前三季累计销售增长超六成全年业绩增长理想可期                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966527/index.phtml,sina,
2017-11-01,东莞证券      ,001979,招商蛇口 ,推荐招商蛇口2017年三季报点评:前三季累计销售增长超六成全年业绩增长理想可期                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966527/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"
    平安观点:
    工业机器人及智能制造业务保持高增长"                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"公司工业机器人产品中,以高端应用的六轴机器人为主,产品具有较强的竞争优势,广泛应用于汽车及零部件、金属板材成形、家电、3C电子、新能源等领域"                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"公司智能装备核心控制功能部件、工业机器人及智能制造系统两大核心业务协同发展,形成从核心部件、工业机器人到机器人集成应用全产业链竞争优势,将保持快速发展"                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"公司机器人与运动控制系统等业务处于快速发展期,有望成为国内机器人本体及系统集成的领先供应商,在智能装备核心部件领域具有技术优势,维持“推荐”评级"                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"公司机器人与运动控制系统等业务处于快速发展期,有望成为国内机器人本体及系统集成的领先供应商,在智能装备核心部件领域具有技术优势,维持“推荐”评级"                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"公司机器人与运动控制系统等业务处于快速发展期,有望成为国内机器人本体及系统集成的领先供应商,在智能装备核心部件领域具有技术优势,维持“推荐”评级"                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,002747,埃斯顿  ,"推荐埃斯顿:业绩保持较快增长,机器人业务持续高增长"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"推荐埃斯顿:业绩保持较快增长,机器人业务持续高增长"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,002747,埃斯顿  ,"推荐埃斯顿:业绩保持较快增长,机器人业务持续高增长"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,平安证券      ,300024,机器人  ,"推荐埃斯顿:业绩保持较快增长,机器人业务持续高增长"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966522/index.phtml,sina,
2017-11-01,信达证券      ,300401,花园生物 ,"推荐花园生物:维生素D3价格大幅上涨,前三季度业绩同比增长287%"                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966520/index.phtml,sina,
2017-11-01,信达证券      ,300401,花园生物 ,"推荐花园生物:维生素D3价格大幅上涨,前三季度业绩同比增长287%"                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966520/index.phtml,sina,
2017-11-01,信达证券      ,300401,花园生物 ,"推荐花园生物:维生素D3价格大幅上涨,前三季度业绩同比增长287%"                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966520/index.phtml,sina,
2017-11-01,中泰证券      ,601009,南京银行 ,"南京银行良好的资产质量决定其估值安全边际;南京银行传统优势领域被限制,目前发力零售金融业务;以往高成长、高资本消耗的业务模式受限,新模式需要观察,这是未来估值提升的"                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966518/index.phtml,sina,
2017-11-01,中泰证券      ,601009,南京银行 ,"推荐南京银行2017年三季报点评:增速修复,估值如何提升?"                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966518/index.phtml,sina,
2017-11-01,西南证券      ,300160,秀强股份 ,"推荐秀强股份:业绩亮眼,幼教全产业链布局领先"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966515/index.phtml,sina,
2017-11-01,西南证券      ,300160,秀强股份 ,"推荐秀强股份:业绩亮眼,幼教全产业链布局领先"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966515/index.phtml,sina,
2017-11-01,东吴证券      ,002573,清新环境 ,"推荐清新环境:业绩符合预期,期待非电领域业务突破"                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966511/index.phtml,sina,
2017-11-01,东吴证券      ,002573,清新环境 ,"推荐清新环境:业绩符合预期,期待非电领域业务突破"                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966511/index.phtml,sina,
2017-11-01,华鑫证券      ,002911,佛燃股份 ,推荐佛燃股份:新股询价报告                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966512/index.phtml,sina,
2017-11-01,东北证券      ,000546,金圆股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300335,迪森股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300422,博世科  ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,000546,金圆股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300335,迪森股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300422,博世科  ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,000546,金圆股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300335,迪森股份 ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,东北证券      ,300422,博世科  ,"
    投资建议:建议关注在污水治理方面具有核心技术以及竞争力的博世科;固废问题中较为突出的是危废,此前危废处理存在回收难以及处理不规范问题,但是环保督察后原有产生危废的厂商不敢将危废堆放在厂区,带动了危废处理设备利用率的提升,建议关注水泥窑协同处置龙头金圆股份;煤改气是贯穿今年下半年的主题之一,随着“大气十条”考核临近以及京津冀大气督查的持续推进,行业有望持续受益,建议关注壁挂炉龙头迪森股份"                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966507/index.phtml,sina,
2017-11-01,平安证券      ,002407,多氟多  ,"
    平安观点:
    功能材料业务进入业绩释放期,前三季度扣非净利增速超200%:公司常州一期电子功能材料产品进入苹果Iphoe X及电脑供应链,传统客户华为、OPPO、VIVO销量持续增长,公司功能胶膜产品开工率、良率同步提升,产品结构及盈利能力持续改善;国内软包动力电池客户拓展顺利,孚能科技、多氟多等客户带动日本三重工厂铝塑膜产品产销高景气"                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966503/index.phtml,sina,
2017-11-01,平安证券      ,002341,新纶科技 ,"推荐新纶科技:前三季度扣非净利增速200%,并购千洪延伸功能膜产业链"                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966503/index.phtml,sina,
