2017-11-07,方正证券  ,000711,京蓝科技 ,"与京蓝科技签订战略合作协议,进一步绑定大客户,新业务智慧农业节水有望实现快速增长:京蓝科技是我国领先的智慧节水解决方案供应商和运营服务商,且其下属公司已中标多个智慧节水灌溉PPP 项目"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,广发证券  ,300009,安科生物 ,"推荐安科生物:潜力品种接踵而至,公司成长或迎拐点"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973851/index.phtml,sina,
2017-11-07,东兴证券  ,600026,中远海能 ,"推荐中远海能2017年3季报点评:低点重启造船计划,长周期受益"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973847/index.phtml,sina,
2017-11-07,东兴证券  ,600026,中远海能 ,"推荐中远海能2017年3季报点评:低点重启造船计划,长周期受益"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973847/index.phtml,sina,
2017-11-07,平安证券  ,600104,上汽集团 ,推荐上汽集团:10月销量增幅略有下滑、长期向好趋势不改                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973837/index.phtml,sina,
2017-11-07,天风证券  ,600038,中直股份 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600482,中国动力 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600879,航天电子 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600967,内蒙一机 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,603678,火炬电子 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,002179,中航光电 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,300411,金盾股份 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,300424,航新科技 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600038,中直股份 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600482,中国动力 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600879,航天电子 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600967,内蒙一机 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,603678,火炬电子 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,002179,中航光电 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,300411,金盾股份 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,300424,航新科技 ,"
    我们认为:1、三军装备均将进入高速量产期,对装备主机厂持续利好--【内蒙一机、中直股份、中国动力】;2、联合作战、全域作战、信息安全初步建设突破,将带动通信设备、上游器材、原材料等的需求--【航天电子、中航光电、火炬电子、金盾股份、航新科技】 布局配置建议:根据中信军工指数样本集,2017E业绩对应板块PE为73x,十年估值中枢为82x,目前板块估值处于历史下部区域,我们推荐对军工国企国资改革、军品订单新周期、军民融合三拐点进行低位布局配置"                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600038,中直股份 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600150,中国船舶 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600482,中国动力 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600879,航天电子 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600967,内蒙一机 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,002179,中航光电 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600038,中直股份 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600150,中国船舶 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600482,中国动力 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600879,航天电子 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600967,内蒙一机 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,002179,中航光电 ,"【航天电子、中国动力、中国船舶】
    (2)新装备新订单:定价改革进行中,基本面受益拨款与订单释放加速,预计出现盈利改善,基本面全面回升,新型号装备也将开启板块新增量,新装备周期于“十九大”后开启,【中直股份、内蒙一机、中航光电】
    (3)军民融合:军工集团利益缺口打开、招标利好,明年进入军品研制链条下一阶段兑现期,去伪存真"                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600038,中直股份 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600416,湘电股份 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600482,中国动力 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600562,国睿科技 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600879,航天电子 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,600967,内蒙一机 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,000547,航天发展 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
2017-11-07,天风证券  ,002013,中航机电 ,10月金股推荐:中直股份(10月金股)、中航黑豹(战略看好)、内蒙一机(重回布局) 长期推荐:航天电子、内蒙一机、中直股份、中国动力、中航机电、航天发展、国睿科技、湘电股份 民参军重点:金信诺、航新科技、金盾股份 本周行业表现:本周申万军工指数下跌3                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973833/index.phtml,sina,
