2018-01-29,招商证券,300718,长盛轴承,长盛轴承(300718)调研报告：自润滑轴承的明日之星-180126,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,财通证券,601689,拓普集团,拓普集团（601689）新建产能匹配订单高增，助力业绩稳健释放-180126,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,财通证券,300251,光线传媒,光线传媒（300251）电影票房将持续复苏，行业龙头估值有望再获提升-180129,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,财通证券,002019,亿帆医药,亿帆医药（002019）F-627美国临床3期达预期，上市可期-180125,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,新时代证券,601012,隆基股份,隆基股份（601012）业绩继续超预期，三年规划凸显实力和雄心-180125,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,新时代证券,000938,紫光股份,紫光股份（000938）业绩预告增速89％-99％符合预期，“云-网-端”协同效应显著-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,新时代证券,603096,新经典,新经典（603096）归母净利润预增52％，畅销书出版龙头成长势头强劲-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,新时代证券,603387,基蛋生物,基蛋生物（603387）心血管类POCT国内龙头，乘产业东风崛起-180127,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,华泰证券,002707,众信旅游,众信旅游（002707）汇率波动对出境游增速影响有限-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,华泰证券,603595,东尼电子,东尼电子（603595）超微细线龙头，不止于金刚线-180126,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,000937,冀中能源,冀中能源（000937）预告17年净利9.5-10.7亿元，转让产能置换指标-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,300188,美亚柏科,美亚柏科（300188）业务持续渗透拓展，业绩稳定增长-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,603518,维格娜丝,维格娜丝（603518）公告业绩预增公告，2017年业绩高增长-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,002127,南极电商,南极电商（002127）重构电商产业链，拥抱大众消费升级-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,600970,中材国际,中材国际（600970）17年业绩预增，公司迈入快速增长期-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,600176,中国巨石,中国巨石（600176）业绩增速加快，后续兼具成长和周期双重弹性-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,广发证券,002555,三七互娱,三七互娱（002555）A股游戏龙头，深化平台化、全球化、泛娱乐化-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,601012,隆基股份,隆基股份(601012)单晶硅片产能加速扩张夯实龙头地位，业绩持续超预期-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,300199,翰宇药业,翰宇药业(300199)2017年业绩预告点评：成纪减值靴子有望落地，业绩增速超预期-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,002699,美盛文化,美盛文化(002699)美盛+JAKKS强强联合，预计将明显提升全球范围内的产业链优势-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,601678,滨化股份,滨化股份(601678)烧碱和PO高景气，新产能投放打开未来成长空间-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,600702,舍得酒业,沱牌舍得(600702)年报低于预期，短期谨慎，中期乐观-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,603707,健友股份,健友股份(603707)业绩略超预期，注射剂海外出口有序推进-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,601699,潞安环能,潞安环能(601699)业绩超预期，估值处冶金煤公司低位-180127,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,西部证券,002352,顺丰控股,顺丰控股(002352)顺丰控股首次覆盖：快递龙头，业绩稳健，物流集大成者-180126,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,000830,鲁西化工,鲁西化工(000830)业绩上修单季9亿，18年看新产能陆续投放-180126,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,安信证券,000661,长春高新,长春高新(000661)长春高新：寒假用药高峰已至，公司长期成长趋势不变-180126,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,华泰证券,000963,华东医药,华东医药（000963）借“西风”挽狂澜，旭日东升览物华-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,华泰证券,600160,巨化股份,巨化股份(600160)2017年业绩大增，计提减值影响利润-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信证券,300070,碧水源,碧水源（300070）业绩预告点评：在手订单充裕，全产业链布局完善-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,光大证券,600785,新华百货,新华百货（600785）业绩符合预期，受益于百货行业复苏-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,国信证券,600176,中国巨石,中国巨石(600176)净利预增近四成，持续看好公司中长期发展-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,国信证券,601888,中国国旅,中国国旅(601888)系列分析之十八：17Q4高基数下超预期高增长，免税霸主成长进行时-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信证券,600389,江山股份,江山股份(600389)2017年业绩预报点评：业绩多娇，江山进入发展新阶段-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信证券,600184,光电股份,光电股份(600184)2017年业绩预告点评：预告业绩符合预期，主营业务长期看好-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中原证券,600217,中再资环,中再资环（600217）废弃电器电子拆解龙头，拆解物涨价助力业绩反弹-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,浙商证券,603355,莱克电气,莱克电气（603355）点评报告：汇兑损失大幅拖累致业绩低于预期-180128,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,国联证券,603658,安图生物,安图生物（603658）参加迪拜展会，提升品牌影响力-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,国联证券,002045,国光电器,国光电器（002045）HomePod发售在即，智能音箱增厚业绩-180126,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信建投,002798,帝王洁具,帝王洁具（002798）“王”“神”牵手，瓷砖龙头，地产工装新成长-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,东北证券,600340,华夏幸福,华夏幸福（600340）销售稳健增长，合作实现共赢-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,东北证券,300059,东方财富,东方财富（300059）业务协同性增强，证券业务业绩大幅提升-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,华鑫证券,600958,东方证券,东方证券（600958）业绩平稳增长，自营、资管贡献主要业绩增量-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,东兴证券,300199,翰宇药业,翰宇药业（300199）事件点评：Q4增速超过80％，全年业绩超预期，多肽龙头2018值得期待-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信证券,601633,长城汽车,长城汽车(601633)WEY销量爬升，盈利恢复超预期-180129,webcache\20180129\webcache-20180302224623.html,51pdf,
2018-01-29,中信证券,600970,中材国际,中材国际(600970)2017年业绩预告点评：业绩预增高达80%-100%，新篇开启-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,东吴证券,600439,瑞贝卡,瑞贝卡（600439）跨境电商助力美洲业务、非洲市场蓬勃发展、发制品全球龙头迈入增长新阶段-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,财富证券,002508,老板电器,老板电器（002508）公司业绩确定性强，增长稳定-180126,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,海通证券,600019,宝钢股份,"宝钢股份(600019)公司公告点评：2017年预告盈利超190亿元,三大看点持续贡献业绩增量-180129",webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,中银国际,600160,巨化股份,巨化股份（600160）产品持续涨价，计提减值使业绩低于预期-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,天风证券,300662,科锐国际,科锐国际（300662）两项并购落地，资本整合加速，人力资源龙头全球布局逐渐展开！-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,财富证券,600588,用友网络,用友网络(600588)调研简报：完善3.0战略，推进融合云平台建设-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,财富证券,603355,莱克电气,莱克电气（603355）目前业绩处于谷底，期待后续好转-180126,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,平安证券,002661,克明面业,克明面业（002661）深蹲正蓄力，期待一季度开门红-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,天风证券,600507,方大特钢,方大特钢（600507）民营龙头降本增效显著，行业回暖带动业绩大涨-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,海通证券,000825,太钢不锈,"太钢不锈(000825)公司公告点评：2017年预计盈利44-49亿元,同比增长284%-328%-180129",webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,联讯证券,300244,迪安诊断,迪安诊断（300244）实验室网点布局进入精细化时代，未来财务数据逐渐向好-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,海通证券,000998,隆平高科,"隆平高科(000998)公司跟踪报告-稻种持续高增,业务多点开花-180129",webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,海通证券,300188,美亚柏科,"美亚柏科(300188)公司公告点评：业绩加速增长,电子数据取证龙头彰显实力-180129",webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,国海证券,601100,恒立液压,恒立液压（601100）动态研究：油缸业务增长迅速，液压件具备良好业绩弹性-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,中银国际,300129,泰胜风能,泰胜风能（300129）业绩预减，拐点已现-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,中银国际,600760,中航沈飞,中航沈飞（600760）业绩预告点评：净利润超预期，但估值仍偏高，建议谨慎关注-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,中银国际,300393,中来股份,中来股份（300393）业绩预增符合预期，N型产能逐步释放-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,国海证券,600028,中国石化,中国石化（600028）动态研究：国际油价创新高，行业龙头业绩弹性大-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,平安证券,002675,东诚药业,东诚药业（002675）获得美沙特龙独家经销权，治疗性核素产品线又添新军-180129,webcache\20180129\webcache-20180302224624.html,51pdf,
2018-01-29,申万宏源,601997,贵阳银行,贵阳银行(601997)规模驱动业绩表现超预期、成长性突出-180128,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,长城证券,601966,玲珑轮胎,玲珑轮胎（601966）收入大幅增长，盈利有提升潜力-180126,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国联证券,603686,龙马环卫,龙马环卫（603686）项目持续推进，业绩成长可期-180125,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国联证券,601933,永辉超市,永辉超市（601933）永辉拟投资家乐福，新零售下商超价值重估-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国联证券,002615,哈尔斯,哈尔斯（002615）主力消费人群换挡，迎合需求多元化-180123,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国联证券,002727,一心堂,一心堂（002727）深耕西南，静待“春种秋收”-180125,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国信证券,002044,美年健康,美年健康（002044）重大事件快评：开店计划稳步推进，并购基金保驾护航-180126,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国信证券,002602,世纪华通,世纪华通（002602）重大事件快评：点点互动100％股权过户完成，游戏产业链布局更进一步-180126,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国信证券,300212,易华录,易华录（300212）数字城市的基础设施建设者-180127,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,000830,鲁西化工,鲁西化工（000830）业绩开花节节高，白马起飞新纪元-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,002044,美年健康,美年健康（002044）新投资体检中心51家，加快门店扩张战略-180126,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,601678,滨化股份,滨化股份（601678）归母净利润同增131％，一体化氯碱巨头腾飞在即-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,000725,京东方A,京东方A（000725）四季度短期波动不改公司基本面持续向好-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,601985,中国核电,中国核电（601985）中核与中核建强强联合，核电迎来新格局-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中信建投,300408,三环集团,三环集团（300408）2017年业绩预告略超预期，手机陶瓷外观件及陶瓷封装基座持续放量-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,东吴证券,603799,华友钴业,华友钴业（603799）全年业绩预告大超预期，钴价看涨+自有矿山支撑2018年高增长-180129,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国元证券,600183,生益科技,生益科技（600183）摆脱周期步入新成长-180121,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中泰证券,600507,方大特钢,方大特钢(600507)单季盈利再创历史新高-180128,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,中泰证券,600958,东方证券,东方证券(600958)2017年度业绩快报：定增补充资本金，自营、资管大幅提振业绩-180127,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,国信证券,600019,宝钢股份,宝钢股份(600019)钢铁巨人高速成长，四季度盈利创新高-180126,webcache\20180129\webcache-20180302224625.html,51pdf,
2018-01-29,太平洋证券,000830,鲁西化工,鲁西化工（000830）业绩再创新高，化工新材料龙头持续验证-180126,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,太平洋证券,300408,三环集团,三环集团（300408）再次确认业绩拐点，未来多点开花小步快跑-180128,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,东兴证券,300567,精测电子,精测电子（300567）事件点评：业绩预告符合预期，行业依旧高景气-180126,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,太平洋证券,300395,菲利华,菲利华（300395）历史积淀成就石英玻璃龙头，技术优势助力三大高景气行业-180127,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,太平洋证券,300537,广信材料,广信材料（300537）宏泰并表推升业绩，看好公司未来发展-180126,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,太平洋证券,300496,中科创达,中科创达（300496）车载业务迅猛增长，嵌入式AI前景广阔-180126,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,天风证券,000960,锡业股份,锡业股份（000960）缅甸锡矿下滑扭转全球供需，受益锡、锌价上涨-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,国海证券,603096,新经典,新经典（603096）年报预报点评：内生主业保持高增速，有望受益线下书店回暖带动图书增量-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,民生证券,601678,滨化股份,滨化股份（601678）点评报告：公司四季度业绩高增长受益于烧碱价格上涨-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,国海证券,300226,上海钢联,上海钢联（300226）动态研究：钢银申请30亿银行授信，拟大幅提升资金规模助推供应链服务快速发展-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,招商证券,603096,新经典,新经典（603096）业绩预告大增，自有版权图书策划发行业务持续发力-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,招商证券,600498,烽火通信,烽火通信（600498）中国信息通信科技集团成立，国企改革持续推进-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,东吴证券,300199,翰宇药业,翰宇药业（300199）2017年业绩符合预期，销售体系改革后潜力品种有望放量-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,国泰君安,000830,鲁西化工,"鲁西化工(000830)四季度业绩超预期,景气度有望持续-180129",webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,国泰君安,000822,山东海化,"山东海化(000822)业绩预告点评报告-纯碱助业绩增长,2018年价格将稳中有升-180129",webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,方正证券,300170,汉得信息,汉得信息（300170）行业回暖龙头疆域扩大，发力SaaS云+智能制造-180123,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,方正证券,000825,太钢不锈,太钢不锈（000825）2017业绩创历史新高，未来有望受益于国改政策红利-180127,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,方正证券,603096,新经典,新经典（603096）2017年报预增52％，持续巩固畅销书龙头地位-180128,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,国海证券,002353,杰瑞股份,杰瑞股份（002353）动态点评：行业复苏+积极转型，公司业绩有望触底反弹-180129,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,东兴证券,600760,中航沈飞,中航沈飞（600760）业绩预增点评：全年业绩大幅超预期，战机第一股迎来型号交付高峰-180128,webcache\20180129\webcache-20180302224626.html,51pdf,
2018-01-29,光大证券,601012,隆基股份,隆基股份（601012）：业绩再超预期，龙头稳步扩张-180126,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,光大证券,600760,中航沈飞,中航沈飞（600760）2017年业绩超预期，战机旗舰正式起航-180128,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,华创证券,600779,水井坊,"水井坊(600779)营收符合预期,静待18年开门红-180127",webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,光大证券,600507,方大特钢,方大特钢（600507）Q4预告盈利再创新高，继续超预期-180128,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,光大证券,600581,八一钢铁,八一钢铁（600581）2017年净利同比增长3036％，集团资产注入继续推进-180128,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,601233,桐昆股份,桐昆股份（601233）业绩靓丽符合预期，预计未来持续高增长-180122,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,300558,贝达药业,贝达药业（300558）艾德生物液体活检获批，埃克替尼为最大受益靶向药-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,300685,艾德生物,贝达药业（300558）艾德生物液体活检获批，埃克替尼为最大受益靶向药-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,000567,海德股份,海德股份（000567）首年告捷，坚定转型AMC-180125,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,603002,宏昌电子,宏昌电子（603002）受益环氧树脂涨价业绩大增，持续看好公司发展-180125,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,300059,东方财富,东方财富（300059）互联网成本优势显现，成长趋势良好-180126,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,国海证券,000830,鲁西化工,鲁西化工（000830）动态点评：2017业绩超预期，2018产品价格中高位+公司新项目投产，利润有望再上台阶-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,东吴证券,600760,中航沈飞,中航沈飞（600760）沈飞集团经营状况良好，看好公司长期发展前景-180127,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,联讯证券,300426,唐德影视,唐德影视（300426）低估值的细分市场领导者__精品剧制作龙头-180128,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,太平洋证券,600702,舍得酒业,沱牌舍得（600702）收入较好增长、利润有待提升-180126,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,国泰君安,600176,中国巨石,"中国巨石(600176)2017年年度业绩预增点评：打消不确定性,玻纤超级周期下全球龙头-180128",webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,国泰君安,600409,三友化工,三友化工(600409)业绩预告点评报告-产品涨价提17业绩规模效应稳未来增长-180128,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,中金公司,002422,科伦药业,科伦药业(002422)自主创新JAK 抑制剂获临床注册受理，创新再出新成果-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,中金公司,603096,新经典,新经典(603096)全年业绩高增长，加大人力投入助力长线发展-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,中金公司,002624,完美世界,完美世界(002624)剥离影院资产，聚焦核心主业，继续看好长期空间-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,中金公司,002078,太阳纸业,太阳纸业(002078)人民币升值预期利好公司业绩释放-180129,webcache\20180129\webcache-20180302224627.html,51pdf,
2018-01-29,兴业证券,000825,太钢不锈,太钢不锈(000825)业绩预告点评：不锈钢与普碳钢双丰收，2017业绩超预期-180128,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,天风证券,002624,完美世界,完美世界（002624）转让院线长期利好核心业务，18年影游项目丰富具备业绩支撑-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,平安证券,002304,洋河股份,洋河股份（002304）梦之蓝增长加速，次高端显王者风范-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,平安证券,000568,泸州老窖,泸州老窖（000568）高档发力，中低档调整-180128,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,上海证券,002044,美年健康,美年健康（002044）横向加速网点大扩张，纵向打造健康生态圈-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,上海证券,300296,利亚德,利亚德（300296）募集资金到位，新增订单超预期-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,中泰证券,300070,碧水源,碧水源（300070）投资收益丰厚，业绩持续增长-180128,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,601012,隆基股份,隆基股份（601012）业绩再超预期，短期硅片降价利空已释放-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,300128,锦富技术,锦富技术（300128）实控人协议转让股权，新管理团队实现利益绑定-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,603355,莱克电气,莱克电气（603355）加大电商品牌投入应对竞争，汇兑为短期扰动-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,002599,盛通股份,盛通股份（002599）并购基金投资新东方旗下迈格森少儿英语，印刷业务发展加速，上调盈利预测-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,603018,中设集团,中设集团（603018）业绩预增略超市场预期，省外扩张+行业景气铸就高增长-180126,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,中金公司,600059,古越龙山,古越龙山(600059)黄酒行业2018年可以更为乐观看待-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,中金公司,600176,中国巨石,中国巨石(600176)2017年业绩预增35%~40%，符合预期-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,中金公司,601888,中国国旅,中国国旅(601888)2017年净利润表现大幅超预期-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,中金公司,601607,上海医药,上海医药(601607)公告H股增发完成，静待流通拐点来临-180129,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,申万宏源,002413,雷科防务,雷科防务(002413)大力度股票激励计划发布，优势民企参军信心彰显-180128,webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,海通证券,002906,华阳集团,"华阳集团(002906)公司研究报告-稳扎稳打,突破向上-180128",webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,海通证券,601888,中国国旅,"中国国旅(601888)公司信息点评-业绩超预期,免税航母持续高增长-180129",webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,海通证券,601238,广汽集团,"广汽集团(601238)公司跟踪报告-悲观化的自主,被低估的日系-180128",webcache\20180129\webcache-20180302224628.html,51pdf,
2018-01-29,海通证券,600197,伊力特,"伊力特(600197)公司深度报告-改革元年,万象更新-180128",webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,华创证券,600702,舍得酒业,沱牌舍得(600702)费用持续投放，渠道深度下沉-180127,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,招商证券,000002,万科A,万科A（000002）顺势而为，稳健增长-2018.01.26调研纪要-180128,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,中泰证券,600581,八一钢铁,八一钢铁（600581）四季度盈利有所回落-180128,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,平安证券,600176,中国巨石,中国巨石（600176）环保趋严提升玻纤行业集中度，量价齐升助力公司业绩高增长-180129,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,中泰证券,601997,贵阳银行,贵阳银行（601997）高增长，高ROE持续；可重点关注-180128,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,方正证券,603383,顶点软件,顶点软件（603383）金融信息化行业景气，质优白马加速创新-180126,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,方正证券,300545,联得装备,联得装备（300545）利润低于预期，需重视结构优化后利润弹性-180128,webcache\20180129\webcache-20180302224630.html,51pdf,
2018-01-29,方正证券,002422,科伦药业,科伦药业（002422）创新小分子JAK抑制剂获受理，彰显强大研发实力-180127,webcache\20180129\webcache-20180302224630.html,51pdf,
