2017-10-18,信达证券    ,002121,科陆电子 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,天风证券    ,600897,厦门空港 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,000905,厦门港务 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,申万宏源    ,600036,招商银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,601009,南京银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,601166,兴业银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,002142,宁波银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,600036,招商银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,601009,南京银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,601166,兴业银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,申万宏源    ,002142,宁波银行 ,"其中,五大行、股份行和城商行净利润分别同比增长4.6%、5.3%、9.4%,大行业绩回暖趋势继续加强,股份行中业绩增速领先的是招商银行(10.8%)和兴业银行(8.5%),城商行中依然是南京银行(17.1%)和宁波银行(15.6%)业绩增速领跑板块"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948966/index.phtml,sina,
2017-10-18,天风证券    ,300024,机器人  ,"
    通知具体解读如下:1)试点重大工程开始落地,资金扶持将推动产业加速发展;2)对申报项目要求严格,有望推动基础核心技术突破;3)互联网+重大工程聚焦云计算、物联网和智能制造三大领域,意在突破操作系统、支撑平台、高端传感器等基础核心环节;4)人工智能聚焦智能芯片和开源平台等核心技术,人脸语音识别产业化应用、无人驾驶、智能机器人等;5)数字经济聚焦政务信息共享、大数据应用创新和基础设施等"                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300024,机器人  ,"
    通知具体解读如下:1)试点重大工程开始落地,资金扶持将推动产业加速发展;2)对申报项目要求严格,有望推动基础核心技术突破;3)互联网+重大工程聚焦云计算、物联网和智能制造三大领域,意在突破操作系统、支撑平台、高端传感器等基础核心环节;4)人工智能聚焦智能芯片和开源平台等核心技术,人脸语音识别产业化应用、无人驾驶、智能机器人等;5)数字经济聚焦政务信息共享、大数据应用创新和基础设施等"                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,600588,用友网络 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603019,中科曙光 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603660,苏州科达 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,000977,浪潮信息 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002230,科大讯飞 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002405,四维图新 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002410,广联达  ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300033,同花顺  ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300078,思创医惠 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300166,东方国信 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300170,汉得信息 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,600588,用友网络 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603019,中科曙光 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603660,苏州科达 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,000977,浪潮信息 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002230,科大讯飞 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002405,四维图新 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002410,广联达  ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300033,同花顺  ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300078,思创医惠 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300166,东方国信 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300170,汉得信息 ,"AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,600588,用友网络 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603019,中科曙光 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603660,苏州科达 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,000977,浪潮信息 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002230,科大讯飞 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002405,四维图新 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,002410,广联达  ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300033,同花顺  ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300078,思创医惠 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300166,东方国信 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,300170,汉得信息 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,600588,用友网络 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603019,中科曙光 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
2017-10-18,天风证券    ,603660,苏州科达 ,"
    10月13日,国家发展改革委办公厅关于组织实施2018年“互联网+”、人工智能创新发展和数字经济试点重大工程的通知,我们认为试点将推动核心技术环节加速落地,把握科技领军企业的投资机遇,AI 推荐科大讯飞、四维图新、苏州科达、同花顺、思创医惠等,关注中科曙光、浪潮信息;云计算重点推荐用友网络、广联达、金蝶国际、汉得信息、东方国信等"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948952/index.phtml,sina,
