2017-11-22,天风证券    ,002626,金达威  ,"成本方面内蒙古金达威在能源、原料、运输等成本优势明显,市占率有望持续提升"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994249/index.phtml,sina,
2017-11-22,中信建投    ,002091,江苏国泰 ,"
    推荐标的:
    澳洋顺昌(LED+圆柱电池双轮驱动),江苏国泰(国内外电池巨头电解液主要供应商)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994188/index.phtml,sina,
2017-11-22,中信建投    ,002245,澳洋顺昌 ,"
    推荐标的:
    澳洋顺昌(LED+圆柱电池双轮驱动),江苏国泰(国内外电池巨头电解液主要供应商)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994188/index.phtml,sina,
2017-11-22,光大证券    ,600028,中国石化 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600346,恒力股份 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600688,上海石化 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600759,洲际油气 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600777,新潮能源 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600803,新奥股份 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,600856,中天能源 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,601233,桐昆股份 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,000059,华锦股份 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,002221,东华能源 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,002493,荣盛石化 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,光大证券    ,002648,卫星石化 ,"
    投资建议:除非特别的地缘政治因素,我们认为2018年原油价格的主要波动区间在50-65美元每桶,建议重点关注如下标的:一是海外资产油气收购,我们首选二叠纪盆地有资产并购的新潮能源,其次是新奥股份、中天能源和洲际油气;二是大型炼化企业中国石化、华锦股份和上海石化,以及即将进入的大型炼化企业,如恒力股份、荣盛石化和恒逸股份;三是涤纶长丝企业的桐昆股份,以及丙烷脱氢企业卫星石化和东华能源等"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994166/index.phtml,sina,
2017-11-22,申万宏源    ,600398,海澜之家 ,"海澜之家(成交额4.1亿元,同比增长331.6%,超预期):公司积极调整电商销售策略,双十一交易额已达到16年全年线上销售的48%,位列男装首位"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002563,森马服饰 ,"森马服饰(成交额8.2亿,同比增长26%,符合预期)其中童装和休闲服均超3亿元"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002293,罗莱生活 ,"罗莱生活(成交额2.6亿元,同比增长23.8%,符合预期):公司持续推进线上营销,LOVO品牌力进一步提升,家纺领域维持6连冠"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002127,南极电商 ,"南极电商在内衣品类的优势基础上,全面推动新兴品类覆盖,家纺品类进入第7名"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002327,富安娜  ,"富安娜:合计成交额超2亿元,同比增长22%以上,线上品牌切入性价比消费群体"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,600398,海澜之家 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603808,歌力思  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603839,安正时尚 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603877,太平鸟  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002127,南极电商 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002640,跨境通  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,300577,开润股份 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,600398,海澜之家 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603808,歌力思  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603839,安正时尚 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,603877,太平鸟  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002127,南极电商 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,002640,跨境通  ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,申万宏源    ,300577,开润股份 ,"
    行业观点与投资建议:我们继续看好龙头白马积极调整,推荐女装板块,坚定看好跨境电商在随后的旺季中持续发力,建议重点关注:1)电商成长标杆:跨境通、南极电商、开润股份;2)传统白马见底复苏:海澜之家;3)多品牌女装:太平鸟、安正时尚、歌力思"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994162/index.phtml,sina,
2017-11-22,东吴证券    ,600050,中国联通 ,"考虑到中国联通、中国电信和广电网络都在增加光网络投资,我们认为2018年光通信需求强劲增长"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994136/index.phtml,sina,
2017-11-22,东吴证券    ,600831,广电网络 ,"考虑到中国联通、中国电信和广电网络都在增加光网络投资,我们认为2018年光通信需求强劲增长"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994136/index.phtml,sina,
2017-11-22,东吴证券    ,600345,长江通信 ,"在2018年产能将成为行业最核心的资源和增长驱动力,我们看好拥有光棒制造能力和产能扩充能力的行业龙头,推荐亨通光电、中天科技、烽火通信;此外,我们建议关注参股行业巨头长飞光纤光缆的长江通信"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994136/index.phtml,sina,
2017-11-22,东吴证券    ,600487,亨通光电 ,"在2018年产能将成为行业最核心的资源和增长驱动力,我们看好拥有光棒制造能力和产能扩充能力的行业龙头,推荐亨通光电、中天科技、烽火通信;此外,我们建议关注参股行业巨头长飞光纤光缆的长江通信"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994136/index.phtml,sina,
