2018-02-24,兴业证券,000661,长春高新,"长春高新(000661)业绩符合预期,未来有望持续较快增长-180209",webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,中银国际,601992,金隅集团,"港股通标的,涨幅前三的为洛阳钼业、超威动力、金隅集团,分别上涨8.35%、6.98%、6.88%;跌幅前三的为神威药业、中国天然气、金利丰金融,分别下跌11.93%、6.94%、6.29%",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,中银国际,603993,洛阳钼业,"港股通标的,涨幅前三的为洛阳钼业、超威动力、金隅集团,分别上涨8.35%、6.98%、6.88%;跌幅前三的为神威药业、中国天然气、金利丰金融,分别下跌11.93%、6.94%、6.29%",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,600579,天华院,"今日机械板块表现一般,涨幅排28个行业的第18位,截至收盘共计165家上涨;有2家涨停公司,分别是:华宏科技和天华院;有1家跌停公司是神开股份",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,002278,神开股份,"今日机械板块表现一般,涨幅排28个行业的第18位,截至收盘共计165家上涨;有2家涨停公司,分别是:华宏科技和天华院;有1家跌停公司是神开股份",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,002645,华宏科技,"今日机械板块表现一般,涨幅排28个行业的第18位,截至收盘共计165家上涨;有2家涨停公司,分别是:华宏科技和天华院;有1家跌停公司是神开股份",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,300024,机器人,"统计数据显示,截至2017年年底,重庆市工业机器人企业突破120家,工业机器人产值达79",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,300024,机器人,推荐机械设备行业日报:2020年重庆机器人产业销售将达1000亿元,webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,600884,杉杉股份,"我们建议关注行业龙头,如天赐材料、格林美、杉杉股份等",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,002340,格林美,"我们建议关注行业龙头,如天赐材料、格林美、杉杉股份等",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,川财证券,002709,天赐材料,"我们建议关注行业龙头,如天赐材料、格林美、杉杉股份等",webcache\20180224\webcache-20180302231807.html,sina,
2018-02-24,浙商证券,002430,杭氧股份,"推荐杭氧股份业绩快报点评报告:业绩复合预期,设备+气体业务景气向上",webcache\20180224\webcache-20180302231808.html,sina,
2018-02-24,长江证券,603839,安正时尚,"推荐安正时尚:布局海外品牌资源,大股东增持彰显发展信心",webcache\20180224\webcache-20180302231808.html,sina,
2018-02-24,长江证券,603839,安正时尚,"推荐安正时尚:布局海外品牌资源,大股东增持彰显发展信心",webcache\20180224\webcache-20180302231808.html,sina,
2018-02-24,天风证券,000425,徐工机械,"推荐徐工机械:工程机械春风依旧,举重力士再续辉煌",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,华金证券,603626,科森科技,"推荐科森科技:大客户战略持续推进,产能释放打开成长空间",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,国信证券,002536,西泵股份,"推荐西泵股份:业绩高增速,营收毛利率双升",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600054,黄山旅游,"推荐以下子板块和公司:   
    1、2017年下半年开始,旅游市场明显复苏,今年望迎来全面繁荣,同时叠加国企改革预期和高管激励机制改善,推荐:宋城演艺、黄山旅游;大股东划转光大落地,老牌上市公司旅游资源优质,特色小镇模式推广可期,推荐:中青旅",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600138,中青旅,"推荐以下子板块和公司:   
    1、2017年下半年开始,旅游市场明显复苏,今年望迎来全面繁荣,同时叠加国企改革预期和高管激励机制改善,推荐:宋城演艺、黄山旅游;大股东划转光大落地,老牌上市公司旅游资源优质,特色小镇模式推广可期,推荐:中青旅",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,300144,宋城演艺,"推荐以下子板块和公司:   
    1、2017年下半年开始,旅游市场明显复苏,今年望迎来全面繁荣,同时叠加国企改革预期和高管激励机制改善,推荐:宋城演艺、黄山旅游;大股东划转光大落地,老牌上市公司旅游资源优质,特色小镇模式推广可期,推荐:中青旅",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600258,首旅酒店,"   
    3、受益消费升级,2018出境游市场的繁荣以及国内全域旅游年推进,酒店行业提价空间巨大,受益于消费升级中端酒店持续火爆,经济型酒店全面复苏,酒店行业龙头公司三季度利润有望超预期,推荐:首旅酒店、锦江股份",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600754,锦江股份,"   
    3、受益消费升级,2018出境游市场的繁荣以及国内全域旅游年推进,酒店行业提价空间巨大,受益于消费升级中端酒店持续火爆,经济型酒店全面复苏,酒店行业龙头公司三季度利润有望超预期,推荐:首旅酒店、锦江股份",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600258,首旅酒店,"   
    3、受益消费升级,2018出境游市场的繁荣以及国内全域旅游年推进,酒店行业提价空间巨大,受益于消费升级中端酒店持续火爆,经济型酒店全面复苏,酒店行业龙头公司三季度利润有望超预期,推荐:首旅酒店、锦江股份",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,600754,锦江股份,"   
    3、受益消费升级,2018出境游市场的繁荣以及国内全域旅游年推进,酒店行业提价空间巨大,受益于消费升级中端酒店持续火爆,经济型酒店全面复苏,酒店行业龙头公司三季度利润有望超预期,推荐:首旅酒店、锦江股份",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,300144,宋城演艺,"   
    上市公司景区游客数量表现不一,宋城演艺旗下景区接待游客超120万(同比增长)、黄山景区(-29%)、古北水镇(+18%)、桂林漓江(+127%)、三亚千古情(+11%)",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,002707,众信旅游,"   
    2、除了欧洲游,短途东南亚旅游,其他有文化特色的出境游也开始复苏增长,目前出境游行业市场集中度较低,推荐:众信旅游",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,中信建投,002707,众信旅游,"   
    2、除了欧洲游,短途东南亚旅游,其他有文化特色的出境游也开始复苏增长,目前出境游行业市场集中度较低,推荐:众信旅游",webcache\20180224\webcache-20180302231809.html,sina,
2018-02-24,天风证券,002174,游族网络,"2018春节,腾讯、网易占据iOS畅销榜前五,游族重点游戏《天使纪元》iOS畅销榜排名大幅上涨,2月21日排第24,受益于1月《天使纪元》上线,游族网络在AppAnnie公布的1月游戏公司收入排行榜中上升15名至第9位,符合我们前期点评关注《天使纪元》上线的观点",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"2018春节,腾讯、网易占据iOS畅销榜前五,游族重点游戏《天使纪元》iOS畅销榜排名大幅上涨,2月21日排第24,受益于1月《天使纪元》上线,游族网络在AppAnnie公布的1月游戏公司收入排行榜中上升15名至第9位,符合我们前期点评关注《天使纪元》上线的观点",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"2018春节,腾讯、网易占据iOS畅销榜前五,游族重点游戏《天使纪元》iOS畅销榜排名大幅上涨,2月21日排第24,受益于1月《天使纪元》上线,游族网络在AppAnnie公布的1月游戏公司收入排行榜中上升15名至第9位,符合我们前期点评关注《天使纪元》上线的观点",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002555,三七互娱,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002602,世纪华通,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300113,顺网科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300315,掌趣科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300467,迅游科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002555,三七互娱,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002602,世纪华通,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300113,顺网科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300315,掌趣科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300467,迅游科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002555,三七互娱,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002602,世纪华通,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300113,顺网科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300315,掌趣科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300467,迅游科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002174,游族网络,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
