2018-02-12,长江证券,002024,苏宁易购,苏宁易购(002024)拟回购股份实施股权激励，彰显长期发展信心-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,华创证券,601006,大秦铁路,大秦铁路(601006)1月份数据点评：近三年单月最高运量水平，低估值高股息，强调“强推”评级-180210,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,天风证券,002044,美年健康,美年健康（002044）公司发布业绩快报，平台化价值逐步强化-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,天风证券,603368,柳州医药,柳州医药（603368）创新业务开拓市场新空间，区域龙头业绩高增长-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,东吴证券,300166,东方国信,东方国信（300166）设立工业互联网子公司，政府优惠政策推动工业企业加速上云-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,西南证券,603816,顾家家居,顾家家居（603816）维持快速增长，看好多品类长期布局-180209,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,平安证券,300219,鸿利智汇,鸿利智汇（300219）战略合作LED车灯做大做强，未来发展向好-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,东方证券,300219,鸿利智汇,鸿利智汇（300219.SZ）引入重要战投大力发展LED车灯-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,东吴证券,002831,裕同科技,裕同科技（002831）高管增持彰显信心，未来业绩拐点可期-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,东吴证券,000063,中兴通讯,中兴通讯（000063）出售中兴软创+与万科合作地产项目，专注主业发展专注5G-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,天风证券,000888,峨眉山A,峨眉山A（000888）门票+酒店业务助营收业绩微增，交通修缮或迎客流拐点-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,天风证券,600967,内蒙一机,内蒙一机（600967）解禁无碍配置机遇，低位军工制造龙头配置机遇凸显-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,光大证券,300523,辰安科技,辰安科技（300523）控股股东增持显信心，城市生命线拓展落地有期待-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,光大证券,600529,山东药玻,山东药玻（600529）药用玻璃行业龙头强者恒强，产品量价齐升-180210,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,东北证券,600984,建设机械,建设机械(600984)乘装配式建筑东风，塔吊租赁龙头起航-180211,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,安信证券,600136,当代明诚,当代明诚(600136)首家世界杯亚洲区赞助商落地，持续验证公司体育营销能力-180211,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,000888,峨眉山A,峨眉山A(000888)费用管控成效显著，高铁开通+索道提价预期下有望业绩反弹-180211,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,002027,分众传媒,分众传媒(002027)基于广告结构性调整趋势，我们预计公司业绩受益于量价齐升-180211,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,600360,华微电子,华微电子(600360)中高端产品持续扩展，业绩实现快速增长-180211,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,000552,靖远煤电,靖远煤电(000552)长协价大幅上调，高弹性可期-180209,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,002714,牧原股份,牧原股份(002714)业绩符合预期，预计出栏量高速增长-180211,http://www.51pdf.com.cn/pj_1_4_42/,51pdf,
2018-02-12,安信证券,002373,千方科技,千方科技(002373)并购宇视科技事项顺利过会，资本助力未来安防市场发展-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,安信证券,600809,山西汾酒,山西汾酒(600809)2018年高目标前进，1季度开门红可期-180212,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,安信证券,600740,山西焦化,山西焦化(600740)收购优质焦煤股权，投资收益助力业绩增厚-180210,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,安信证券,002705,新宝股份,新宝股份(002705)原有产品启动调价，Q1业绩料有改善-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,安信证券,000063,中兴通讯,中兴通讯(000063)出售中兴软创部分股权，持续聚焦5G，与阿里ICT合作值得期待-180209,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东北证券,300133,华策影视,华策影视（300133）打响内容品牌，龙头再次腾飞-180212,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东北证券,600984,建设机械,建设机械(600984)乘装配式建筑东风，塔吊租赁龙头起航-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东北证券,002567,唐人神,唐人神（002567）饲料、养殖双高增长，降费增效成果显著-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东北证券,002376,新北洋,新北洋(002376)“3+N”战略持续推进，向下渗透打开市场天花板-180212,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东方证券,300219,鸿利智汇,鸿利智汇（300219.SZ）引入重要战投大力发展LED车灯-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,000661,长春高新,长春高新（000661）扣非净利润增速38％符合预期，生长激素快速增长将带动公司进入高速发展期-180209,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,300166,东方国信,东方国信（300166）设立工业互联网子公司，政府优惠政策推动工业企业加速上云-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,601328,交通银行,交通银行（601328）当前被低估，未来有弹性-180210,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,300369,绿盟科技,绿盟科技（300369）股权问题靴子落地，大股东增持彰显信心-180212,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,002831,裕同科技,裕同科技（002831）高管增持彰显信心，未来业绩拐点可期-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,东吴证券,000063,中兴通讯,中兴通讯（000063）出售中兴软创+与万科合作地产项目，专注主业发展专注5G-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,光大证券,300523,辰安科技,辰安科技（300523）控股股东增持显信心，城市生命线拓展落地有期待-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,光大证券,002293,罗莱生活,罗莱生活（002293）家纺龙头回暖明显，线上线下共促增长-180212,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,光大证券,600529,山东药玻,山东药玻（600529）药用玻璃行业龙头强者恒强，产品量价齐升-180210,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,光大证券,600216,浙江医药,浙江医药（600216）公司拐点向上，短期维生素业绩弹性巨大-180211,http://www.51pdf.com.cn/pj_1_4_43/,51pdf,
2018-02-12,广发证券,300203,聚光科技,聚光科技（300203）17年实现净利润4.48亿，受费用等拖累业绩增速放缓-180212,http://www.51pdf.com.cn/pj_1_4_44/,51pdf,
2018-02-12,广发证券,002705,新宝股份,新宝股份(002705)内生保持良好增长，盈利受汇率影响大-180211,http://www.51pdf.com.cn/pj_1_4_44/,51pdf,
2018-02-12,国信证券,000888,峨眉山A,峨眉山A(000888)2017年年报点评：控费助力17年业绩平稳，期待新班子新成长-180212,http://www.51pdf.com.cn/pj_1_4_44/,51pdf,
2018-02-12,国信证券,300170,汉得信息,汉得信息(300170)中国少数可以对标并超越国际巨头同行的IT公司-180212,http://www.51pdf.com.cn/pj_1_4_44/,51pdf,
