2017-11-21,东北证券,300024,机器人,推荐行业:自动化行业(系统集成和机器人)+高空作业平台,webcache\20171121\webcache-20180303013316.html,sina,
2017-11-21,天风证券,000968,蓝焰控股,"推荐公用事业行业:蓝焰控股基本面更新,十月发电量增速回落至5%",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国海证券,002027,分众传媒,"推荐分众传媒事件点评:数禾科技完成新一轮融资,投资收益增厚公司利润",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国海证券,300450,先导智能,"推荐先导智能调研简报:完成泰坦并表,龙头业绩持续高增长",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国海证券,300450,先导智能,"推荐先导智能调研简报:完成泰坦并表,龙头业绩持续高增长",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600233,圆通速递,"重点推荐:韵达股份、顺丰控股、圆通速递,以及美股中通快递",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,002120,韵达股份,"重点推荐:韵达股份、顺丰控股、圆通速递,以及美股中通快递",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,002352,顺丰控股,"重点推荐:韵达股份、顺丰控股、圆通速递,以及美股中通快递",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601111,中国国航,"航空淡季整体票价疲软,寻找结构性机会,首推中国国航:受沙特政治动荡影响,近期油价大幅上涨,截至11月17日,布伦特原油期货结算价收于62",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600029,南方航空,"国航通过长期积累的枢纽网络战略、优秀的高管团队、坚定的执行力、严格的票价收益管理能力、形成了领先兄弟公司的盈利水平,中国国航是今年和明年首推航空品种,其次是春秋航空和南方航空",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601021,春秋航空,"国航通过长期积累的枢纽网络战略、优秀的高管团队、坚定的执行力、严格的票价收益管理能力、形成了领先兄弟公司的盈利水平,中国国航是今年和明年首推航空品种,其次是春秋航空和南方航空",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601111,中国国航,"国航通过长期积累的枢纽网络战略、优秀的高管团队、坚定的执行力、严格的票价收益管理能力、形成了领先兄弟公司的盈利水平,中国国航是今年和明年首推航空品种,其次是春秋航空和南方航空",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600125,铁龙物流,"所以在这一时点,我们继续推荐铁路板块三只标的:大秦铁路、广深铁路、铁龙物流",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601006,大秦铁路,"所以在这一时点,我们继续推荐铁路板块三只标的:大秦铁路、广深铁路、铁龙物流",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601333,广深铁路,"所以在这一时点,我们继续推荐铁路板块三只标的:大秦铁路、广深铁路、铁龙物流",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601919,中远海控,持续关注中远海控,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600004,白云机场,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600009,上海机场,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600029,南方航空,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,600377,宁沪高速,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601006,大秦铁路,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601021,春秋航空,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601111,中国国航,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,601333,广深铁路,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,国金证券,002120,韵达股份,重点推荐:上海机场、中国国航、白云机场、春秋航空、南方航空、宁沪高速、粤高速、大秦铁路、广深铁路、韵达股份,webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,安信证券,000089,深圳机场,"深圳机场10月共完成旅客吞吐量405.81万人次,航空器起降2.95万架次,分别同比增长10.9%、8.5%,较之三季度7.6%和5.6%的增速有明显提升",webcache\20171121\webcache-20180303013322.html,sina,
2017-11-21,安信证券,000089,深圳机场,"推荐深圳机场:双节客流高位运行,能力建设工作稳步推进",webcache\20171121\webcache-20180303013322.html,sina,
2017-11-21,东北证券,002717,岭南园林,"推荐岭南园林:PPP项目中标大单,低估值期待修复",webcache\20171121\webcache-20180303013322.html,sina,
2017-11-21,高华证券,300661,圣邦股份,"推荐半导体行业:征服设计领域,在新兴和传统市场上齐头并进;买入圣邦股份(摘要)",webcache\20171121\webcache-20180303013322.html,sina,
2017-11-21,高华证券,300661,圣邦股份,"推荐半导体行业:征服设计领域,在新兴和传统市场上齐头并进;买入圣邦股份(摘要)",webcache\20171121\webcache-20180303013322.html,sina,
2017-11-21,方正证券,600507,方大特钢,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,600581,八一钢铁,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,600782,新钢股份,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,000717,韶钢松山,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,000932,*ST华菱,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,600507,方大特钢,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,600581,八一钢铁,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,600782,新钢股份,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,000717,韶钢松山,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,方正证券,000932,*ST华菱,"强烈推荐*ST华菱、新钢股份、八一钢铁,建议关注方大特钢、韶钢松山",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600674,川投能源,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600900,长江电力,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600674,川投能源,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600900,长江电力,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600674,川投能源,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600900,长江电力,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600674,川投能源,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,长江证券,600900,长江电力,"由于政策再度强调了优先发电权的建立、外送通道的建设利用以及龙头水库的加速推进,我们认为具备优先发电计划先例、拥有专属外送通道和有望受益于龙头水库建设的长江电力和川投能源有望受益,推荐关注",webcache\20171121\webcache-20180303013323.html,sina,
2017-11-21,太平洋证券,000858,五粮液,"五粮液方面,截止10月底,公司五粮液系列已经实现1.6万吨销量,超额完成计划;同时,2018年五粮液普五的可供量增长20%,伴随着茅台价格持续上涨,预计明年销量增长也有望超预期",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000858,五粮液,"五粮液方面,截止10月底,公司五粮液系列已经实现1.6万吨销量,超额完成计划;同时,2018年五粮液普五的可供量增长20%,伴随着茅台价格持续上涨,预计明年销量增长也有望超预期",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600779,水井坊,"次高端白酒中,我们重点推荐沱牌舍得和水井坊,沱牌舍得近期收到证监会的定增批文,市场对公司未来业绩完成和释放程度的预期趋于乐观",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600887,伊利股份,"我们认为,随着明年cpi持续提升,龙头盈利能力有望继续加强,业绩加快增长,估值仍有提升空间,重点推荐伊利股份",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600887,伊利股份,"我们认为,随着明年cpi持续提升,龙头盈利能力有望继续加强,业绩加快增长,估值仍有提升空间,重点推荐伊利股份",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600872,中炬高新,"   
    另外,随着伊利、茅台和双汇等龙头企业股票估值持续提升后,上述行业的二线龙头企业如中炬高新,以及其他的细分食品行业的龙头企业如安井食品和绝味食品估值优势有望逐渐凸显",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,603345,安井食品,"   
    另外,随着伊利、茅台和双汇等龙头企业股票估值持续提升后,上述行业的二线龙头企业如中炬高新,以及其他的细分食品行业的龙头企业如安井食品和绝味食品估值优势有望逐渐凸显",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,603517,绝味食品,"   
    另外,随着伊利、茅台和双汇等龙头企业股票估值持续提升后,上述行业的二线龙头企业如中炬高新,以及其他的细分食品行业的龙头企业如安井食品和绝味食品估值优势有望逐渐凸显",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600305,恒顺醋业,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600519,贵州茅台,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600779,水井坊,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600872,中炬高新,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600887,伊利股份,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,603345,安井食品,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,603517,绝味食品,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000568,泸州老窖,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000858,五粮液,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000895,双汇发展,"   
    重点推荐标的伊利股份、双汇发展、中炬高新、恒顺醋业、绝味食品、安井食品;沱牌舍得、水井坊、贵州茅台、五粮液、泸州老窖",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000568,泸州老窖,"泸州老窖方面,公司表示国窖1573明年仍有望维持高速增长,2020年国窖1573有望达到1",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,600779,水井坊,"水井坊新省代模式下公司和经销商分工明确,公司对渠道和终端管控力度加强,核心门店数量快速提升趋势有望延续,推动公司业绩持续高增长",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,603288,海天味业,"今年以来,食品龙头企业业绩已经率先出现了复苏迹象,不论是乳制品的伊利、调味品的海天味业还是肉制品的双汇发展,股价均实现了较大幅度上涨",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,太平洋证券,000895,双汇发展,"今年以来,食品龙头企业业绩已经率先出现了复苏迹象,不论是乳制品的伊利、调味品的海天味业还是肉制品的双汇发展,股价均实现了较大幅度上涨",webcache\20171121\webcache-20180303013324.html,sina,
2017-11-21,渤海证券,603019,中科曙光,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,000997,新大陆,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,002439,启明星辰,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300188,美亚柏科,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300440,运达科技,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,603019,中科曙光,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,000997,新大陆,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,002439,启明星辰,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300188,美亚柏科,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300440,运达科技,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,603019,中科曙光,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,000997,新大陆,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,002439,启明星辰,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300188,美亚柏科,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,渤海证券,300440,运达科技,"综上,我们继续维持行业“中性”的投资评级,建议投资者重点关注三季报高增长个股,板块方面,建议关注轨道交通信息化、人工智能、存储与信息安全板块,股票池继续推荐运达科技(300440)、启明星辰(002439)、中科曙光(603019)、新大陆(000997)、美亚柏科(300188)",webcache\20171121\webcache-20180303013327.html,sina,
2017-11-21,国泰君安,601318,中国平安,"中国平安依旧是打新基金里增持金额最高的个股,另外格力电器成为三季报中减持金额最高的个股",webcache\20171121\webcache-20180303013328.html,sina,
2017-11-21,国泰君安,000651,格力电器,"中国平安依旧是打新基金里增持金额最高的个股,另外格力电器成为三季报中减持金额最高的个股",webcache\20171121\webcache-20180303013328.html,sina,
2017-11-21,国泰君安,601211,国泰君安,"   
    国泰君安中小盘重点推荐公司包括:“消费升级”组合:利亚德(300296)、诚益通(300430);“技术升级”组合:东尼电子(603595)、鸣志电器(603728)、利源精制(002501)、透景生命(300642)、东诚药业(002675);“增发并购”组合:天银机电(300342)、永艺股份(603600)、智度股份(000676)、东方能源(000958)",webcache\20171121\webcache-20180303013328.html,sina,
2017-11-21,国泰君安,603595,东尼电子,"   
    国泰君安中小盘重点推荐公司包括:“消费升级”组合:利亚德(300296)、诚益通(300430);“技术升级”组合:东尼电子(603595)、鸣志电器(603728)、利源精制(002501)、透景生命(300642)、东诚药业(002675);“增发并购”组合:天银机电(300342)、永艺股份(603600)、智度股份(000676)、东方能源(000958)",webcache\20171121\webcache-20180303013328.html,sina,
2017-11-21,国泰君安,603600,永艺股份,"   
    国泰君安中小盘重点推荐公司包括:“消费升级”组合:利亚德(300296)、诚益通(300430);“技术升级”组合:东尼电子(603595)、鸣志电器(603728)、利源精制(002501)、透景生命(300642)、东诚药业(002675);“增发并购”组合:天银机电(300342)、永艺股份(603600)、智度股份(000676)、东方能源(000958)",webcache\20171121\webcache-20180303013328.html,sina,
