2017-10-10,西南证券,603866,桃李面包,"推荐桃李面包:三季报略超市场预期,区域扩张持续进行",webcache\20171010\webcache-20180303024642.html,sina,
2017-10-10,申万宏源,300581,晨曦航空,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,中泰证券,603589,口子窖,"国庆前后我们对名酒渠道动销情况进行了跟踪,预计三季度茅台发货量增长40%以上,普五增长10%左右,国窖增长超过50%,汾酒青花瓷增长40%以上,徽酒双寡头口子窖和古井省内市场增速在20%左右,目前来看三季度名酒增长基本保持二季度趋势,部分酒企业绩仍有望继续超预期,下周起三季报将陆续披露,惊喜或将不断",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600519,贵州茅台,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600809,山西汾酒,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000568,泸州老窖,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000596,古井贡酒,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000858,五粮液,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002304,洋河股份,"我们认为四季度配置白酒板块仍具备超额收益,继续重点推荐贵州茅台、山西汾酒、口子窖、五粮液、泸州老窖、古井贡酒、洋河股份等",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600872,中炬高新,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600887,伊利股份,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603288,海天味业,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"我们建议聚焦子行业龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600809,山西汾酒,"   
    山西汾酒:改革的最大受益者,次高端酒首推标的",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"十一返乡明显感受到安徽市场婚宴、请客等白酒消费场景普遍用口子窖和古井主力产品,县城宴请已是口子窖6年起步,相对而言种子酒、宣酒等较低价位弱品牌产品开瓶率很低,古井销量高基数下实现增长主要是挤占种子等众多地产酒市场,而口子窖的增长更多是来自县乡市场的渠道下沉,可见的是徽酒百元价位消费升级趋势在不断演绎",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"展望未来2-3年,我们认为徽酒300元的消费升级天花板短期不会达到,中间具备充足升级空间,省外表现亦存在明显预期差,继续重点推荐徽酒双寡头口子窖和古井贡酒",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000596,古井贡酒,"展望未来2-3年,我们认为徽酒300元的消费升级天花板短期不会达到,中间具备充足升级空间,省外表现亦存在明显预期差,继续重点推荐徽酒双寡头口子窖和古井贡酒",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"当前食品行业部分子行业景气度较高,如乳制品、调味品,主因在于需求回暖、消费升级持续进行,叠加成本压力下行使得中小企业盈利相对困难,格局逐步向好背景下龙头企业的市场份额有望稳步提升,建议重点关注乳制品、调味品龙头,优选H&H;国际控股、伊利、中炬、海天,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"   
    徽酒:消费升级场景不断强化,持续重点推荐口子窖+古井",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"具体来看,我们预计三季度口子窖和古井省内收入继续保持20%增长,且200-300元价位产品增速明显快于百元产品,目前省内渠道库存相对良性;省外口子窖主动调整后今年表现逐季向好,低基数下有望继续保持双位数增长,古井上半年河南重点市场调整后下半年表现料将有所改善,剔除黄鹤楼自身省外收入增速有望回升至个位数",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600779,水井坊,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600872,中炬高新,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600887,伊利股份,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603288,海天味业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000858,五粮液,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600779,水井坊,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600872,中炬高新,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600887,伊利股份,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603288,海天味业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000858,五粮液,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600298,安琪酵母,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600779,水井坊,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600872,中炬高新,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,600887,伊利股份,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603288,海天味业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,603589,口子窖,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000639,西王食品,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,000858,五粮液,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,中泰证券,002597,金禾实业,"白酒方面,市场情绪波动导致的估值下行已在加速修复,旺季名酒动销势头良好显示行业向上趋势不改,继续重点推荐茅台、汾酒、口子窖、五粮液、老窖、古井、洋河、水井坊等,关注沱牌、酒鬼;食品方面,聚焦子行业景气度回升的龙头,重点推荐H&H;国际控股、伊利股份、中炬高新、海天味业,其他细分子行业龙头,推荐金禾实业、安琪酵母、西王食品",webcache\20171010\webcache-20180303024652.html,sina,
2017-10-10,天风证券,600028,中国石化,"对于油价反弹,我们认为炼化弹性大的公司将从中受益,建议关注华锦股份、中国石化;下游化工产品方面,我们看好环氧乙烷-聚醚的景气,建议关注减水剂聚醚龙头公司奥克股份;我们坚持看好车用精细化工民营企业的发展空间,建议关注康普顿和龙蟠科技",webcache\20171010\webcache-20180303024653.html,sina,
