2017-12-12,招商证券      ,603638,艾迪精密 ,艾迪精密(603638)高端装备跨年推荐之二：加大与龙头企业合作-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,华鑫证券      ,603655,朗博科技 ,朗博科技（603655）新股询价报告-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,华鑫证券      ,300735,光弘科技 ,光弘科技（300735）新股询价报告-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,申万宏源      ,600340,华夏幸福 ,"锦富技术(300128)智能家居产品商业落地开门红,获得华夏幸福5000套采购意向-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,申万宏源      ,300128,锦富技术 ,"锦富技术(300128)智能家居产品商业落地开门红,获得华夏幸福5000套采购意向-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,银河证券      ,002217,合力泰  ,合力泰（002217）拟推员工持股计划，看好公司未来发展-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,国海证券      ,600420,现代制药 ,现代制药（600420）事件点评：发行可转债突破发展瓶颈-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,国海证券      ,002341,新纶科技 ,新纶科技（002341）事件点评：拟收购美国优质标的阿克伦系统公司45％股权并设立控股子公司，开启功能材料产业化新篇章-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,民生证券      ,002341,新纶科技 ,新纶科技（002341）海外并购进一步布局高端显示材料-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,东兴证券      ,601369,陕鼓动力 ,陕鼓动力（601369）订单复苏业绩反转，公司步入上行通道-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,德意志银行     ,600276,恒瑞医药 ,恒瑞医药(600276)Pyrotinib P2 data better than Kadcyla-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,华金证券      ,603129,春风动力 ,春风动力(603129)公司全地形车国外市场占有率稳居前列-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,财通证券      ,600426,华鲁恒升 ,华鲁恒升（600426）LNG大幅上涨，利好煤头甲醇、尿素-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,财通证券      ,300247,乐金健康 ,乐金健康（300247）大健康全面布局，干细胞研发王者-171210                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,东莞证券      ,603080,新疆火炬 ,伊戈尔（002922）新疆火炬（603080）上海雅仕（603329）新股网下申购询价建议报告-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,东莞证券      ,603329,上海雅仕 ,伊戈尔（002922）新疆火炬（603080）上海雅仕（603329）新股网下申购询价建议报告-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,东莞证券      ,002922,伊戈尔  ,伊戈尔（002922）新疆火炬（603080）上海雅仕（603329）新股网下申购询价建议报告-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,广发证券      ,600497,驰宏锌锗 ,驰宏锌锗(600497)资源战略显成效，行业景气助腾飞-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,国信证券      ,300070,碧水源  ,碧水源（300070）产业链布局进一步完善，拓展到环境监测和农业畜禽处理领域-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,安信证券      ,000983,西山煤电 ,西山煤电(000983)收购产能置换指标，产量扩张有望-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,安信证券      ,002074,国轩高科 ,国轩高科(002074)配股完成，静待锂电龙头绽放-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,安信证券      ,600958,东方证券 ,东方证券(600958)券商资管龙头，财富金控雏形-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,中信证券      ,002640,跨境通  ,"跨境通(002640)重大事项点评：优壹收购获批文,维持底部推荐-171211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,中信证券      ,601933,永辉超市 ,"永辉超市(601933)重大事项点评：龙头生态,非线性发展-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,招商证券      ,002431,棕榈股份 ,棕榈股份（002431）特色小镇和新农村齐飞，打造增长新动力-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,广发证券      ,300285,国瓷材料 ,国瓷材料（300285）拟全面收购爱尔创，打通氧化锆产业链-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,广发证券      ,600966,博汇纸业 ,博汇纸业（600966）拟定增布局纸品多元化，产能瓶颈打开奠定成长基础-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,国信证券      ,002745,木林森  ,木林森（002745）LED封装龙头优势强化，LEDWANCE整合势头良好-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,国联证券      ,601991,大唐发电 ,大唐发电（601991）收购集团火电资产进一步扩大装机规模-171208                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,中银国际      ,600067,冠城大通 ,冠城大通（600067）冠城瑞闽锂电池一期投产，新能源业务正式起航-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,华泰证券      ,002696,百洋股份 ,百洋股份（002696）CG培训龙头向综合艺术教育延伸-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,安信证券      ,603308,应流股份 ,应流股份(603308)“两机”叶片有望量产，铸造龙头终成航空核电精兵-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,国泰君安      ,000869,张裕A  ,"张裕(000869)人事变革,并购推进,葡萄酒龙头正在涅磐重生—张裕A管理层变动及拟并购Kilikanoon 酒庄 点评-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p400/                                                          ,51pdf,
2017-12-12,中金公司      ,603579,荣泰健康 ,"荣泰健康(603579)敏锐的新龙头,领跑按摩椅市场新趋势-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,中金公司      ,300070,碧水源  ,碧水源(300070)拓展养殖治污、监测领域，实现有质量的差异化增长-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,申万宏源      ,600196,复星医药 ,"复星医药(600196)医疗服务持续布局优质资产,强化区域协同效应-171211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,申万宏源      ,000568,泸州老窖 ,泸州老窖(000568)国窖特曲齐发力2018年再提速-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,申万宏源      ,002431,棕榈股份 ,"棕榈股份(002431)积极推进美丽乡村建设,多点发力带来新的业绩增长点-171211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,招商证券      ,002318,久立特材 ,久立特材（002318）国内不锈钢管领军者，持续加码高端管材-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,国海证券      ,002355,兴民智通 ,兴民智通（002355）动态研究：受益国家大数据战略，进入快速发展期-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,国金证券      ,600419,天润乳业 ,天润乳业（600419）资产托管解决同业竞争问题，18年疆外战略或步伐更大-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
2017-12-12,浙商证券      ,002747,埃斯顿  ,埃斯顿(002747)公告点评：拟收购扬州曙光，切入军工自动化领域-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p401/                                                          ,51pdf,
