2017-11-14,国海证券      ,600990,四创电子 ,"推荐四创电子事件点评:中电博微组建,资产注入可期"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982993/index.phtml,sina,
2017-11-14,申万宏源      ,600900,长江电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,601139,深圳燃气 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,601985,中国核电 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,601991,大唐发电 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,000543,皖能电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,国金证券      ,601021,春秋航空 ,"在2019年北京二机场等基础设施投入和时刻放量之后,低成本行业环境预计得到改善,航空需求不减,作为低成本航空龙头,春秋航空将迎来加速成长的发展机遇"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982917/index.phtml,sina,
2017-11-14,国金证券      ,601021,春秋航空 ,"推荐春秋航空:短期收益水平持续提升,长期等待行业改善"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982917/index.phtml,sina,
2017-11-14,申万宏源      ,603579,荣泰健康 ,"考虑成长确定性和估值,我们仍继续推荐亚翔集成、三利谱、荣泰健康"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,603929,亚翔集成 ,"考虑成长确定性和估值,我们仍继续推荐亚翔集成、三利谱、荣泰健康"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,002876,三利谱  ,"考虑成长确定性和估值,我们仍继续推荐亚翔集成、三利谱、荣泰健康"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,002380,科远股份 ,"同时本周发布科远股份深度报告,公司为机器人自动化生产的代表性公司,我们认为明年高端装备制造的公司将有较大机会,建议关注"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300024,机器人  ,"同时本周发布科远股份深度报告,公司为机器人自动化生产的代表性公司,我们认为明年高端装备制造的公司将有较大机会,建议关注"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600150,中国船舶 ,"长期来看,军工板块仍然是重要的配置领域,我们建议围绕以下三条主线进行布局:1、军工混改:建议关注积极推进混改兵器工业集团(资产证券化率目前相对较低)、中船集团(首批混改试点,9月26日晚间,中国船舶、中船防务叠加航母产业链带来的相关投资机会)、中国电子科技集团(17年资产证券化率目标35%)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600685,中船防务 ,"长期来看,军工板块仍然是重要的配置领域,我们建议围绕以下三条主线进行布局:1、军工混改:建议关注积极推进混改兵器工业集团(资产证券化率目前相对较低)、中船集团(首批混改试点,9月26日晚间,中国船舶、中船防务叠加航母产业链带来的相关投资机会)、中国电子科技集团(17年资产证券化率目标35%)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,002380,科远股份 ,"
    工业4.0板块:推荐科远股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300666,江丰电子 ,"次新股方面的风格仍然在符合国家战略的大行业、高壁垒的小公司中演绎,高估值公司江丰电子、阿石创、光威复材、金刚线相关个股风头正劲,以上个股仍可关注,同时也注意风险"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300699,光威复材 ,"次新股方面的风格仍然在符合国家战略的大行业、高壁垒的小公司中演绎,高估值公司江丰电子、阿石创、光威复材、金刚线相关个股风头正劲,以上个股仍可关注,同时也注意风险"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300706,阿石创  ,"次新股方面的风格仍然在符合国家战略的大行业、高壁垒的小公司中演绎,高估值公司江丰电子、阿石创、光威复材、金刚线相关个股风头正劲,以上个股仍可关注,同时也注意风险"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300128,锦富技术 ,"非次新方面,我们一直推荐的锦富技术的智能弱电箱产品(物联网)已经进入到商业落地阶段,员工持股完成大部分购买,预计公司Q4将进入到订单落地阶段,建议关注"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300128,锦富技术 ,"非次新方面,我们一直推荐的锦富技术的智能弱电箱产品(物联网)已经进入到商业落地阶段,员工持股完成大部分购买,预计公司Q4将进入到订单落地阶段,建议关注"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600562,国睿科技 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600677,航天通信 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,603131,上海沪工 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,002179,中航光电 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600562,国睿科技 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,600677,航天通信 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,603131,上海沪工 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,002179,中航光电 ,"3、军民融合:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);
    民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(上海沪工(国内规模较大的焊接与切割设备制造商,具有全系列产品生产能力"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,申万宏源      ,300024,机器人  ,"
    (2)看好公司的研发实力和执行力,公司在火电行业逐步放缓的情况下,近几年不断创新研发新品,推出凝汽器清洗机器人、锅炉CT、智慧电厂等业务,目前新产品的市场渗透率都较低,未来三年将受益于新业务继续深入推广,在增量市场有限的情况下将大幅提高存量市场的价值,公司业务有望迎来多点开花的局面"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982912/index.phtml,sina,
2017-11-14,上海证券      ,600276,恒瑞医药 ,"
    近7天北向资金净买入排名前三的个股为美的集团、平安银行和青岛海尔,净卖出排名前三的个股为恒瑞医药、海螺水泥和歌尔股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982905/index.phtml,sina,
2017-11-14,上海证券      ,600585,海螺水泥 ,"
    近7天北向资金净买入排名前三的个股为美的集团、平安银行和青岛海尔,净卖出排名前三的个股为恒瑞医药、海螺水泥和歌尔股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982905/index.phtml,sina,
2017-11-14,上海证券      ,600690,青岛海尔 ,"
    近7天北向资金净买入排名前三的个股为美的集团、平安银行和青岛海尔,净卖出排名前三的个股为恒瑞医药、海螺水泥和歌尔股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982905/index.phtml,sina,
