2017-11-20,国海证券,000750,国海证券,推荐国海证券研究每周观点精粹,webcache\20171120\webcache-20180303013522.html,sina,
2017-11-20,国金证券,601766,中国中车,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002472,双环传动,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002527,新时达,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300024,机器人,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300161,华中数控,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300450,先导智能,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,603111,康尼机电,建议关注:华铭智能、康尼机电、永贵电器,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300351,永贵电器,建议关注:华铭智能、康尼机电、永贵电器,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300462,华铭智能,建议关注:华铭智能、康尼机电、永贵电器,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,603016,新宏泰,"   
    11月推荐组合:新宏泰、华铁股份、华铭智能、康尼机电、星云股份",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,603111,康尼机电,"   
    11月推荐组合:新宏泰、华铁股份、华铭智能、康尼机电、星云股份",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,000976,华铁股份,"   
    11月推荐组合:新宏泰、华铁股份、华铭智能、康尼机电、星云股份",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300462,华铭智能,"   
    11月推荐组合:新宏泰、华铁股份、华铭智能、康尼机电、星云股份",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300648,星云股份,"   
    11月推荐组合:新宏泰、华铁股份、华铭智能、康尼机电、星云股份",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,600031,三一重工,"工程机械10月挖机销量10541台,同比增长81%,龙头公司盈利加速释放,三一重工17Q3单季度盈利6",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,600031,三一重工,"工程机械10月挖机销量10541台,同比增长81%,龙头公司盈利加速释放,三一重工17Q3单季度盈利6",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,600031,三一重工,"4亿元,环比17Q2增长55%,预计明年行业销量增速中枢15%,建议关注:三一重工、徐工机械",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,000425,徐工机械,"4亿元,环比17Q2增长55%,预计明年行业销量增速中枢15%,建议关注:三一重工、徐工机械",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,600031,三一重工,"4亿元,环比17Q2增长55%,预计明年行业销量增速中枢15%,建议关注:三一重工、徐工机械",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,000425,徐工机械,"4亿元,环比17Q2增长55%,预计明年行业销量增速中枢15%,建议关注:三一重工、徐工机械",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300161,华中数控,"11月13日,工信部公示第一批智能制造系统解决方案供应商推荐目录,机械行业上市公司中,沈阳新松、华中数控、三丰智能等7家公司入选",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300276,三丰智能,"11月13日,工信部公示第一批智能制造系统解决方案供应商推荐目录,机械行业上市公司中,沈阳新松、华中数控、三丰智能等7家公司入选",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,000837,秦川机床,"核心零部件方面,减速机国产化进展加速,以双环传动、秦川机床等上市公司产品已开始小批量供货,价格相较进口产品降低约30%",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002472,双环传动,"核心零部件方面,减速机国产化进展加速,以双环传动、秦川机床等上市公司产品已开始小批量供货,价格相较进口产品降低约30%",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600316,洪都航空,"对相关企业构成利好,可关注中航黑豹、国睿科技、中航机电、中航资本、洪都航空等",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600562,国睿科技,"对相关企业构成利好,可关注中航黑豹、国睿科技、中航机电、中航资本、洪都航空等",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600705,中航资本,"对相关企业构成利好,可关注中航黑豹、国睿科技、中航机电、中航资本、洪都航空等",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,002013,中航机电,"对相关企业构成利好,可关注中航黑豹、国睿科技、中航机电、中航资本、洪都航空等",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600151,航天机电,可关注南洋科技、航天机电、航天电子、航发动力、中航电子等,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600372,中航电子,可关注南洋科技、航天机电、航天电子、航发动力、中航电子等,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600879,航天电子,可关注南洋科技、航天机电、航天电子、航发动力、中航电子等,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,600893,航发动力,可关注南洋科技、航天机电、航天电子、航发动力、中航电子等,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,开源证券,002389,南洋科技,可关注南洋科技、航天机电、航天电子、航发动力、中航电子等,webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,新时代证券,300197,铁汉生态,"推荐铁汉生态:三季度订单爆发,园林PPP龙头业绩有保障",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,广发证券,601766,中国中车,"推荐中国中车:行业需求改善,各项业务有望实现良性共振",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,万联证券,000528,柳工,"目前柳工的装载机产品在市场上处于领导地位,挖掘机产品在国内企业中处于领先品牌之一,今年其装载机和挖掘机占有率均进一步提升,以挖掘机为例,公司前9月累计销量为5881台,同比增长126",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,万联证券,000528,柳工,"目前柳工的装载机产品在市场上处于领导地位,挖掘机产品在国内企业中处于领先品牌之一,今年其装载机和挖掘机占有率均进一步提升,以挖掘机为例,公司前9月累计销量为5881台,同比增长126",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,万联证券,000528,柳工,"另外,柳工近期通过内部变革加强市场导向和业绩导向的激励机制力度将有利于推动其后续的产品销售规模增长",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,万联证券,000528,柳工,"推荐柳工:会计处理影响单季业绩,未来增长依旧看好",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,万联证券,000528,柳工,"推荐柳工:会计处理影响单季业绩,未来增长依旧看好",webcache\20171120\webcache-20180303013526.html,sina,
2017-11-20,国泰君安,603466,风语筑,推荐风语筑:数字化展示浪潮下的创意先锋,webcache\20171120\webcache-20180303013527.html,sina,
2017-11-20,国泰君安,600138,中青旅,"①乌镇影响力继续提升,提价增厚利润,古北增速符合预期;②濮院项目稳步推进,有望与乌镇联袂互补;③以自有资金与IDG、红杉及红奇基金共同设立中青旅红奇合伙企业,引入优质项目,加速旅游+三大产业融合",webcache\20171120\webcache-20180303013528.html,sina,
2017-11-20,国泰君安,600138,中青旅,推荐中青旅乌镇子公司获得政府补贴公告点评:高额补贴利好当期现金流及后期项目盈利能力,webcache\20171120\webcache-20180303013528.html,sina,
2017-11-20,长城证券,300340,科恒股份,"推荐科恒股份调研报告:正极材料基本满产,收购万好万家打通前段设备全工序",webcache\20171120\webcache-20180303013528.html,sina,
2017-11-20,长江证券,600545,卓郎智能,"   
    卓郎智能是一家具有百年品牌历史,全球领先的高端纺织装备及解决方案提供商,主要从事智能化纺织成套设备及核心零部件的研发、生产和销售",webcache\20171120\webcache-20180303013528.html,sina,
2017-11-20,太平洋证券,002092,中泰化学,"推荐中泰化学17三季度点评:Q3业绩大幅增长,PVC淡季面临考验关注长期机会",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,太平洋证券,002092,中泰化学,"推荐中泰化学17三季度点评:Q3业绩大幅增长,PVC淡季面临考验关注长期机会",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,太平洋证券,002092,中泰化学,"推荐中泰化学17三季度点评:Q3业绩大幅增长,PVC淡季面临考验关注长期机会",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,广发证券,603688,石英股份,"推荐石英股份:走向高端,进口替代,成长加速",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,广发证券,603688,石英股份,"推荐石英股份:走向高端,进口替代,成长加速",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,000063,中兴通讯,重点推荐中兴通讯(5G核心主设备商),webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,600487,亨通光电,重点关注中际旭创、新易盛、光迅科技、亨通光电、中天科技等,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,600522,中天科技,重点关注中际旭创、新易盛、光迅科技、亨通光电、中天科技等,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,002281,光迅科技,重点关注中际旭创、新易盛、光迅科技、亨通光电、中天科技等,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,300308,中际旭创,重点关注中际旭创、新易盛、光迅科技、亨通光电、中天科技等,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,300502,新易盛,重点关注中际旭创、新易盛、光迅科技、亨通光电、中天科技等,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,000063,中兴通讯,重点推荐中兴通讯,webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,安信证券,000063,中兴通讯,"根据国际著名咨询公司OVUM最新发布的市场份额数据,中兴通讯光网络产品2017年第二季度滚动四季度市场份额环比增长位居十大厂商首位,光网络市场份额排名稳居全球前二",webcache\20171120\webcache-20180303013529.html,sina,
2017-11-20,国海证券,000423,东阿阿胶,"我们继续看好消费升级趋势和东阿阿胶品牌的价值提升,而且年初大股东增持也充分彰显发展信心,维持买入评级",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,国海证券,000423,东阿阿胶,"我们继续看好消费升级趋势和东阿阿胶品牌的价值提升,而且年初大股东增持也充分彰显发展信心,维持买入评级",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,国海证券,000423,东阿阿胶,"推荐东阿阿胶事件点评:平稳提价,稳健增长",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,国海证券,000423,东阿阿胶,"推荐东阿阿胶事件点评:平稳提价,稳健增长",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,平安证券,601997,贵阳银行,"从个股上,我们继续推荐宁波、兴业、招行以及大行中的农行和中行,提示关注贵阳银行",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,平安证券,601997,贵阳银行,"从个股上,我们继续推荐宁波、兴业、招行以及大行中的农行和中行,提示关注贵阳银行",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,平安证券,600016,民生银行,"   
    公司:   
    (1)民生银行公告,华夏人寿增持公司A股普通股1",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,中国民生银行股份有限公司,603040,新坐标,"推荐中国金融新坐标,十九大后中国金融发展前瞻",webcache\20171120\webcache-20180303013530.html,sina,
2017-11-20,平安证券,002230,科大讯飞,"国家开放创新平台的推出不仅有助于BAT、科大讯飞的业务发展,更可为AI应用加速推广提供算法、模块、SDK等开放性类基础设施,明显利好国内人工智能产业",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,603660,苏州科达,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002230,科大讯飞,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002439,启明星辰,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300170,汉得信息,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300182,捷成股份,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300188,美亚柏科,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,603660,苏州科达,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002230,科大讯飞,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002439,启明星辰,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300170,汉得信息,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300182,捷成股份,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300188,美亚柏科,"对于具体投资标的,我们推荐关注启明星辰、汉得信息、苏州科达、捷成股份、美亚柏科、科大讯飞",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,603019,中科曙光,"A股上市公司中,建议重点关注科大讯飞、中科创达、中科曙光",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002230,科大讯飞,"A股上市公司中,建议重点关注科大讯飞、中科创达、中科曙光",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300496,中科创达,"A股上市公司中,建议重点关注科大讯飞、中科创达、中科曙光",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,600718,东软集团,"A股上市公司中,建议关注在产业链不同环节布局自动驾驶的科大讯飞、中科创达、四维图新、东软集团、索菱股份等公司的动向",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002230,科大讯飞,"A股上市公司中,建议关注在产业链不同环节布局自动驾驶的科大讯飞、中科创达、四维图新、东软集团、索菱股份等公司的动向",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002405,四维图新,"A股上市公司中,建议关注在产业链不同环节布局自动驾驶的科大讯飞、中科创达、四维图新、东软集团、索菱股份等公司的动向",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,002766,索菱股份,"A股上市公司中,建议关注在产业链不同环节布局自动驾驶的科大讯飞、中科创达、四维图新、东软集团、索菱股份等公司的动向",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,平安证券,300496,中科创达,"A股上市公司中,建议关注在产业链不同环节布局自动驾驶的科大讯飞、中科创达、四维图新、东软集团、索菱股份等公司的动向",webcache\20171120\webcache-20180303013531.html,sina,
2017-11-20,国海证券,000636,风华高科," 我们上半年重点推荐的风华高科近期在MLCC等被动元件极端缺货的风潮带动下也表现凌厉,我们认为在此维度下可以重点关注一下分销商标的力源信息,国内这类大型代理类公司的盈利状况恐怕将持续超越市场预期",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,300184,力源信息," 我们上半年重点推荐的风华高科近期在MLCC等被动元件极端缺货的风潮带动下也表现凌厉,我们认为在此维度下可以重点关注一下分销商标的力源信息,国内这类大型代理类公司的盈利状况恐怕将持续超越市场预期",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,000636,风华高科," 我们上半年重点推荐的风华高科近期在MLCC等被动元件极端缺货的风潮带动下也表现凌厉,我们认为在此维度下可以重点关注一下分销商标的力源信息,国内这类大型代理类公司的盈利状况恐怕将持续超越市场预期",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,300184,力源信息," 我们上半年重点推荐的风华高科近期在MLCC等被动元件极端缺货的风潮带动下也表现凌厉,我们认为在此维度下可以重点关注一下分销商标的力源信息,国内这类大型代理类公司的盈利状况恐怕将持续超越市场预期",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,600330,天通股份,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,600745,闻泰科技,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,002180,纳思达,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,002600,江粉磁材,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,300184,力源信息,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,国海证券,300476,胜宏科技,"   
    重点推荐个股及逻辑:我们的重点推荐组合:行业成长格局确定的纳思达、江粉磁材、深天马、力源信息、天通股份、胜宏科技、闻泰科技",webcache\20171120\webcache-20180303013532.html,sina,
2017-11-20,东吴证券,600337,美克家居,"其他家居公司中,大亚圣象(18年15X)、美克家居(18年21X)继续推荐",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,000910,大亚圣象,"其他家居公司中,大亚圣象(18年15X)、美克家居(18年21X)继续推荐",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,002191,劲嘉股份,"   
    包装:推荐裕同科技、劲嘉股份",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,002831,裕同科技,"   
    包装:推荐裕同科技、劲嘉股份",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,002191,劲嘉股份,"劲嘉股份三季度开始增长明显提速其中不仅受益于烟草行业回暖其逻辑也包括受益于烟草行业产品结构高端化(1-9月江苏细支烟实现3亿销售额,细支烟的销售收入连续两年实现100%增长)以及社会包装业务经历几次人员更换后业务规模上量迅速,其中烟草精品包装盒、电子中VIVO/OPPO放量,未来酒类包装值得关注",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,002191,劲嘉股份,"劲嘉股份三季度开始增长明显提速其中不仅受益于烟草行业回暖其逻辑也包括受益于烟草行业产品结构高端化(1-9月江苏细支烟实现3亿销售额,细支烟的销售收入连续两年实现100%增长)以及社会包装业务经历几次人员更换后业务规模上量迅速,其中烟草精品包装盒、电子中VIVO/OPPO放量,未来酒类包装值得关注",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,002191,劲嘉股份,"劲嘉股份三季度开始增长明显提速其中不仅受益于烟草行业回暖其逻辑也包括受益于烟草行业产品结构高端化(1-9月江苏细支烟实现3亿销售额,细支烟的销售收入连续两年实现100%增长)以及社会包装业务经历几次人员更换后业务规模上量迅速,其中烟草精品包装盒、电子中VIVO/OPPO放量,未来酒类包装值得关注",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,603008,喜临门,"当前时点配置优选顾家家居(18年23X),其它品种建议关注喜临门、梦百合",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,603313,梦百合,"当前时点配置优选顾家家居(18年23X),其它品种建议关注喜临门、梦百合",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,603816,顾家家居,"当前时点配置优选顾家家居(18年23X),其它品种建议关注喜临门、梦百合",webcache\20171120\webcache-20180303013533.html,sina,
2017-11-20,东吴证券,600482,中国动力,"中国动力、中电广通、清控通恒、一嗨基金分别持有合资公司股权25%、25%、35%、15%,其中合资公司5名董事会中,中国动力和中电广通各推荐2名、1名",webcache\20171120\webcache-20180303013534.html,sina,
2017-11-20,平安证券,601997,贵阳银行,"个股上,我们继续推荐宁波、兴业、招行以及大行中的农行和中行,提示关注贵阳银行",webcache\20171120\webcache-20180303013534.html,sina,
2017-11-20,平安证券,601997,贵阳银行,"个股上,我们继续推荐宁波、兴业、招行以及大行中的农行和中行,提示关注贵阳银行",webcache\20171120\webcache-20180303013534.html,sina,
2017-11-20,东吴证券,600406,国电南瑞,"   
    公司层面:长园集团:藏金壹号及其一致行动人已持有公司总股本的24.21%,成为公司第一大股东;汇川技术:公司发布2018-20年股东回报计划,以3,100万购买江苏微特利所持江苏汇程的全部股权,全资子公司投资设立江苏汇能机电;隆基股份:拟分别向保山隆基和银川隆基增资146,126万元和130,000万元,2017年11月20日发行可转债2800万张;洛阳钼业:全资子公司与NCCL合作设立自然资源投资基金;   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、三季报高增长)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、阳光电源(光伏行业超预期、户用分布式龙头、三季报超预期)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20171120\webcache-20180303013536.html,sina,
2017-11-20,东吴证券,600452,涪陵电力,"   
    公司层面:长园集团:藏金壹号及其一致行动人已持有公司总股本的24.21%,成为公司第一大股东;汇川技术:公司发布2018-20年股东回报计划,以3,100万购买江苏微特利所持江苏汇程的全部股权,全资子公司投资设立江苏汇能机电;隆基股份:拟分别向保山隆基和银川隆基增资146,126万元和130,000万元,2017年11月20日发行可转债2800万张;洛阳钼业:全资子公司与NCCL合作设立自然资源投资基金;   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、三季报高增长)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、阳光电源(光伏行业超预期、户用分布式龙头、三季报超预期)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20171120\webcache-20180303013536.html,sina,
